ticker,score,recommendation,entry_price,stop_loss,target_price,risk_reward,position_size_pct,gap_percent,volume_multiple,eps_surprise_pct,adr_percent,atr_percent,ma_cluster_quality,industry_rank_pct,is_disqualified,disqualification_reason,scan_date
BIPC,0.0,pass,,,,,0.0,,,,2.52,2.39,tight,,True,ADR% 2.5% < 6.0% minimum; ATR% 2.4% < 7.0% minimum,2026-02-01 14:03:26.665134
NEWT,0.0,pass,,,,,0.0,,,-6.52,4.34,4.57,loose,,True,ADR% 4.3% < 6.0% minimum; ATR% 4.6% < 7.0% minimum,2026-02-01 14:03:27.524686
DHCC,0.0,pass,,,,,0.0,,,,2.38,4.46,loose,,True,ADR% 2.4% < 6.0% minimum; ATR% 4.5% < 7.0% minimum,2026-02-01 14:03:30.642501
PDEX,0.0,pass,,,,,0.0,,,9.67,5.08,5.26,loose,,True,ADR% 5.1% < 6.0% minimum; ATR% 5.3% < 7.0% minimum,2026-02-01 14:03:31.272711
PMT,0.0,pass,,,,,0.0,,,19.67,3.01,3.34,loose,,True,ADR% 3.0% < 6.0% minimum; ATR% 3.3% < 7.0% minimum,2026-02-01 14:03:31.941010
IROQ,0.0,pass,,,,,0.0,,,,0.8,0.89,moderate,,True,ADR% 0.8% < 6.0% minimum; ATR% 0.9% < 7.0% minimum,2026-02-01 14:03:32.579892
PH,0.0,pass,,,,,0.0,,,3.57,1.82,2.03,loose,11.1,True,ADR% 1.8% < 6.0% minimum; ATR% 2.0% < 7.0% minimum,2026-02-01 14:03:34.040716
VLY,0.0,pass,,,,,0.0,,,6.57,2.84,2.88,loose,,True,ADR% 2.8% < 6.0% minimum; ATR% 2.9% < 7.0% minimum,2026-02-01 14:03:34.811475
RGBP,28.6,pass,0.01,0.01,0.01,,0.0,,,,38.82,34.62,loose,,False,,2026-02-01 14:03:46.976346
DECK,0.0,pass,,,,,0.0,15.02,3.45,18.17,3.7,3.88,loose,88.9,True,ADR% 3.7% < 6.0% minimum; ATR% 3.9% < 7.0% minimum,2026-02-01 14:03:48.591216
FFWM,0.0,pass,,,,,0.0,,,-230.72,3.46,3.53,loose,,True,ADR% 3.5% < 6.0% minimum; ATR% 3.5% < 7.0% minimum,2026-02-01 14:03:49.201741
JBSS,0.0,pass,,,,,0.0,,,10.45,2.77,2.54,moderate,,True,ADR% 2.8% < 6.0% minimum; ATR% 2.5% < 7.0% minimum,2026-02-01 14:03:49.871903
HZO,0.0,pass,,,,,0.0,,,-230.71,4.82,5.2,loose,,True,ADR% 4.8% < 6.0% minimum; ATR% 5.2% < 7.0% minimum,2026-02-01 14:03:50.772082
FBTT,0.0,pass,,,,,0.0,,,,1.74,1.61,loose,,True,ADR% 1.7% < 6.0% minimum; ATR% 1.6% < 7.0% minimum,2026-02-01 14:03:53.864981
MA,0.0,pass,,,,,0.0,,,8.79,2.18,2.39,loose,,True,ADR% 2.2% < 6.0% minimum; ATR% 2.4% < 7.0% minimum,2026-02-01 14:03:54.538672
FHI,0.0,pass,,,,,0.0,,,15.34,2.67,2.7,loose,,True,ADR% 2.7% < 6.0% minimum; ATR% 2.7% < 7.0% minimum,2026-02-01 14:03:55.192749
FLWS,56.7,watch,4.32,4.26,5.1,13.0,2.4,12.38,7.29,36.8,7.84,8.42,loose,,False,,2026-02-01 14:03:55.821862
ABCB,0.0,pass,,,,,0.0,,,-0.93,3.25,3.15,loose,,True,ADR% 3.2% < 6.0% minimum; ATR% 3.1% < 7.0% minimum,2026-02-01 14:03:56.527193
GSIT,28.6,pass,7.22,7.57,8.52,,0.0,,,,13.42,13.67,loose,,False,,2026-02-01 14:03:57.089419
CFNB,0.0,pass,,,,,0.0,,,101.11,1.39,1.54,loose,,True,ADR% 1.4% < 6.0% minimum; ATR% 1.5% < 7.0% minimum,2026-02-01 14:03:57.657539
ZKIN,28.6,pass,1.65,1.68,1.95,,0.0,,,,16.84,16.74,loose,,False,,2026-02-01 14:03:58.375998
AMP,0.0,pass,,,,,0.0,,,3.88,2.55,2.74,loose,,True,ADR% 2.5% < 6.0% minimum; ATR% 2.7% < 7.0% minimum,2026-02-01 14:03:59.053629
CODA,35.3,pass,10.65,10.4,12.57,7.68,0.0,,,29.68,8.22,8.46,loose,,False,,2026-02-01 14:03:59.601510
RMD,0.0,pass,,,,,0.0,,,2.15,2.69,2.62,moderate,,True,ADR% 2.7% < 6.0% minimum; ATR% 2.6% < 7.0% minimum,2026-02-01 14:04:00.170675
HTLD,0.0,pass,,,,,0.0,,,14.73,2.94,3.22,loose,,True,ADR% 2.9% < 6.0% minimum; ATR% 3.2% < 7.0% minimum,2026-02-01 14:04:00.739802
