date,si_cal_12,si_cal_23,si_fly_123,si_cal_12_norm,si_cal_23_norm,si_fly_123_norm,si_roll_yield,si_cal_12_z20,si_cal_23_z20,si_fly_123_z20,si_cal_12_norm_z20,si_cal_23_norm_z20,si_fly_123_norm_z20,si_cal_12_z60,si_cal_23_z60,si_fly_123_z60,si_cal_12_norm_z60,si_cal_23_norm_z60,si_fly_123_norm_z60,si_cal_12_z120,si_cal_23_z120,si_fly_123_z120,si_cal_12_norm_z120,si_cal_23_norm_z120,si_fly_123_norm_z120,si1_ret,si2_ret,si3_ret,si_cal_12_chg,si_cal_23_chg,si_fly_123_chg,si_cal_12_vol20,si_cal_23_vol20,si_fly_123_vol20,si_cal_12_vol60,si_cal_23_vol60,si_fly_123_vol60
2018-01-02,-0.07600000000000051,-0.0710000000000015,-0.004999999999999005,-44.211751018034036,-41.30308318790081,-2.90866783013322,0.015999999999998238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03,-0.07700000000000173,-0.0730000000000004,-0.004000000000001336,-44.934640522876826,-42.60037348272665,-2.3342670401501726,0.13100000000000023,,,,,,,,,,,,,,,,,,,0.06099999999999994,0.062000000000001165,0.06400000000000006,-0.0010000000000012221,-0.0019999999999988916,0.0009999999999976694,,,,,,
2018-01-04,-0.07700000000000173,-0.07600000000000051,-0.0010000000000012221,-44.69338595931261,-44.11295237542473,-0.5804335838878731,0.04049999999999798,,,,,,,,,,,,,,,,,,,0.0019999999999988916,0.0019999999999988916,0.004999999999999005,0.0,-0.0030000000000001137,0.0030000000000001137,,,,,,
2018-01-05,-0.0799999999999983,-0.08000000000000185,3.552713678800501e-15,-46.45167284086719,-46.45167284086926,2.0628686688114762e-12,0.0627999999999993,,,,,,,,,,,,,,,,,,,0.01600000000000179,0.01899999999999835,0.022999999999999687,-0.002999999999996561,-0.004000000000001336,0.0010000000000047748,,,,,,
2018-01-08,-0.08000000000000185,-0.0799999999999983,-3.552713678800501e-15,-46.69079024162592,-46.690790241623844,-2.073487614567819e-12,0.00999999999999801,,,,,,,,,,,,,,,,,,,-0.1410000000000018,-0.14099999999999824,-0.1410000000000018,-3.552713678800501e-15,3.552713678800501e-15,-7.105427357601002e-15,,,,,,
2018-01-09,-0.0799999999999983,-0.08099999999999952,0.0010000000000012221,-47.13507143909165,-47.72425983208102,0.5891883929893782,0.03750000000000142,,,,,,,,,,,,,,,,,,,-0.1339999999999968,-0.13400000000000034,-0.13299999999999912,3.552713678800501e-15,-0.0010000000000012221,0.0010000000000047748,,,,,,
2018-01-10,-0.08099999999999952,-0.08300000000000196,0.0020000000000024443,-47.713015050216185,-48.89111418726001,1.1780991370438219,0.058499999999998664,,,,,,,,,,,,,,,,,,,0.02499999999999858,0.0259999999999998,0.028000000000002245,-0.0010000000000012221,-0.0020000000000024443,0.0010000000000012221,,,,,,
2018-01-11,-0.08099999999999952,-0.08299999999999841,0.0019999999999988916,-47.682119205297724,-48.8594554819711,1.1773362766733724,-0.02149999999999963,,,,,,,,,,,,,,,,,,,-0.06899999999999906,-0.06899999999999906,-0.06900000000000261,0.0,3.552713678800501e-15,-3.552713678800501e-15,,,,,,
2018-01-12,-0.08300000000000196,-0.08699999999999974,0.003999999999997783,-48.234781345344736,-50.559349121022656,2.3245677756779215,-0.06650000000000134,,,,,,,,,,,,,,,,,,,0.17499999999999716,0.1769999999999996,0.18100000000000094,-0.0020000000000024443,-0.004000000000001336,0.0019999999999988916,,,,,,
2018-01-15,-0.08300000000000196,-0.08699999999999974,0.003999999999997783,-47.8248343416894,-50.129645635263465,2.304811293574061,-0.2140000000000022,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
