date,cal_12,cal_23,fly_123,cal_12_norm,cal_23_norm,fly_123_norm,roll_yield_12,xau_swap_1m,xau_swap_3m,xau_swap_6m,xau_swap_1y,cal_12_z20,cal_23_z20,fly_123_z20,cal_12_norm_z20,cal_23_norm_z20,fly_123_norm_z20,cal_12_z60,cal_23_z60,fly_123_z60,cal_12_norm_z60,cal_23_norm_z60,fly_123_norm_z60,cal_12_z120,cal_23_z120,fly_123_z120,cal_12_norm_z120,cal_23_norm_z120,fly_123_norm_z120,gc1_ret,gc2_ret,gc3_ret,cal_12_chg,cal_23_chg,fly_123_chg,cal_12_vol20,cal_23_vol20,fly_123_vol20,cal_12_vol60,cal_23_vol60,fly_123_vol60
2018-01-02,-4.800000000000182,-4.7999999999999545,-2.2737367544323206e-13,-36.43097847536493,-36.430978475363204,-1.7257178074868095e-12,-1.4600000000000364,1.78,1.84,1.86,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03,-4.900000000000091,-4.7999999999999545,-0.10000000000013642,-37.31314869670571,-36.55165586615967,-0.7614928305460393,5.289999999999964,1.76,1.84,1.87,2.0,,,,,,,,,,,,,,,,,,,2.400000000000091,2.5,2.5,-0.09999999999990905,0.0,-0.09999999999990905,,,,,,
2018-01-04,-4.800000000000182,-4.699999999999818,-0.1000000000003638,-36.280904906237915,-35.525052720688564,-0.7558521855493443,-1.4100000000000819,1.67,1.8,1.86,2.0,,,,,,,,,,,,,,,,,,,3.099999999999909,3.0,2.8999999999998636,0.09999999999990905,0.10000000000013642,-2.2737367544323206e-13,,,,,,
2018-01-05,-4.7999999999999545,-4.800000000000182,2.2737367544323206e-13,-36.37493463878898,-36.3749346387907,1.7230630380893465e-12,2.7100000000000364,1.65,1.75,1.83,2.0,,,,,,,,,,,,,,,,,,,0.7000000000000455,0.6999999999998181,0.8000000000001819,2.2737367544323206e-13,-0.1000000000003638,0.10000000000059117,,,,,,
2018-01-08,-4.7999999999999545,-4.899999999999864,0.09999999999990905,-36.35262041805479,-37.109966676763584,0.7573462587087931,0.0,1.65,1.75,1.83,2.0,,,,,,,,,,,,,,,,,,,-1.8999999999998636,-1.8999999999998636,-1.800000000000182,0.0,-0.09999999999968168,0.09999999999968168,,,,,,
2018-01-09,-4.7999999999999545,-4.900000000000091,0.10000000000013642,-36.561678790417446,-37.323380431885525,0.7617016414680766,0.8500000000001364,1.7,1.75,1.85,2.0,,,,,,,,,,,,,,,,,,,-6.7000000000000455,-6.7000000000000455,-6.699999999999818,0.0,-2.2737367544323206e-13,2.2737367544323206e-13,,,,,,
2018-01-10,-4.7999999999999545,-5.0,0.20000000000004547,-36.449513626802194,-37.96824336125265,1.5187297344504511,2.4099999999998545,1.72,1.77,1.86,2.05,,,,,,,,,,,,,,,,,,,5.599999999999909,5.599999999999909,5.699999999999818,0.0,-0.09999999999990905,0.09999999999990905,,,,,,
2018-01-11,-4.7999999999999545,-5.0,0.20000000000004547,-36.29654275430231,-37.808898702398594,1.5123559480962876,0.05999999999994543,1.73,1.82,1.86,2.06,,,,,,,,,,,,,,,,,,,3.2000000000000455,3.2000000000000455,3.2000000000000455,0.0,0.0,0.0,,,,,,
2018-01-12,-4.899999999999864,-5.2000000000000455,0.3000000000001819,-36.63167967464985,-38.87443557309923,2.2427558984493725,-2.740000000000009,1.73,1.82,1.88,2.06,,,,,,,,,,,,,,,,,,,12.400000000000091,12.5,12.700000000000045,-0.09999999999990905,-0.20000000000004547,0.10000000000013642,,,,,,
2018-01-15,-4.899999999999864,-5.2000000000000455,0.3000000000001819,-36.56743707042488,-38.80625974820742,2.238822677782535,-5.089999999999918,1.75,1.83,1.88,2.06,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
