label,n_days,total_pnl,ann_return,ann_vol,sharpe,max_dd,n_trades,hit_rate,avg_win,avg_loss,win_loss_ratio,avg_hold_days,max_win_streak,max_loss_streak,lookback,entry_z,exit_z,max_hold,spread,spread_label,metal
si_si_cal_12_lb120_ez2.0_xz0.0_mh10,2129,0.26,0.03,0.171,0.179,-0.38,43,0.395,0.029,-0.025,1.15,10.4,6,12,120,2.0,0.0,10,si_cal_12,SI1-SI2 calendar,silver
si_si_cal_12_lb120_ez2.0_xz0.0_mh20,2129,0.55,0.07,0.175,0.374,-0.33,34,0.529,0.057,-0.025,2.31,22.3,3,6,120,2.0,0.0,20,si_cal_12,SI1-SI2 calendar,silver
si_si_cal_12_lb120_ez2.0_xz0.0_mh40,2129,0.75,0.09,0.186,0.48,-0.35,30,0.567,0.068,-0.045,1.53,39.0,4,3,120,2.0,0.0,40,si_cal_12,SI1-SI2 calendar,silver
si_si_cal_12_lb120_ez2.0_xz0.5_mh5,2129,0.11,0.01,0.16,0.079,-0.35,70,0.229,0.047,-0.008,6.1,4.1,6,24,120,2.0,0.5,5,si_cal_12,SI1-SI2 calendar,silver
si_si_cal_12_lb120_ez2.0_xz0.5_mh10,2129,0.25,0.03,0.167,0.176,-0.38,43,0.395,0.03,-0.025,1.18,10.1,6,12,120,2.0,0.5,10,si_cal_12,SI1-SI2 calendar,silver
si_si_cal_12_lb120_ez2.0_xz0.5_mh20,2129,0.55,0.07,0.171,0.382,-0.33,34,0.559,0.053,-0.026,2.08,21.1,3,6,120,2.0,0.5,20,si_cal_12,SI1-SI2 calendar,silver
si_si_cal_12_lb120_ez2.0_xz0.5_mh40,2129,0.77,0.09,0.182,0.501,-0.35,31,0.613,0.06,-0.045,1.32,34.7,8,4,120,2.0,0.5,40,si_cal_12,SI1-SI2 calendar,silver
si_si_cal_12_lb120_ez2.5_xz0.0_mh5,2129,0.04,0.01,0.117,0.044,-0.39,32,0.344,0.042,-0.011,3.74,5.1,3,12,120,2.5,0.0,5,si_cal_12,SI1-SI2 calendar,silver
si_si_cal_12_lb120_ez2.5_xz0.0_mh10,2129,0.27,0.03,0.122,0.265,-0.26,26,0.462,0.044,-0.018,2.4,11.9,3,6,120,2.5,0.0,10,si_cal_12,SI1-SI2 calendar,silver
si_si_cal_12_lb120_ez2.5_xz0.0_mh20,2129,0.64,0.08,0.136,0.557,-0.21,24,0.583,0.056,-0.022,2.52,21.3,3,3,120,2.5,0.0,20,si_cal_12,SI1-SI2 calendar,silver
si_si_cal_12_lb120_ez2.5_xz0.0_mh40,2129,0.66,0.08,0.145,0.535,-0.27,23,0.522,0.073,-0.037,1.96,38.0,3,3,120,2.5,0.0,40,si_cal_12,SI1-SI2 calendar,silver
