,capital_weight,risk_budget,ann_return,ann_vol,sharpe,max_dd,port_contribution_ann
Time-Series Momentum,0.6,0.3,0.06526177225730342,0.15296738562373766,0.42663847585021436,-0.22325152818010463,0.07578517759628209
Cash & Carry (COMEX),0.1,0.1,0.00227496393442623,0.0017654968582082634,1.2885686677092167,-0.007814478185316887,0.00045698270870654244
Lease Rate Curve,0.2,0.2,0.0010251073708932561,0.0006131433174371469,1.6718886787807803,-0.0006776555150966868,0.0003776173354925745
COMEX EFP Basis,0.1,0.2,0.0008697914332356849,0.0005823687468928355,1.4935407126092557,-0.0008766824569337306,0.00016061545568257172
