,gross_leverage
2018-01-01,0.9999999999999999
2018-01-02,0.9999999999999999
2018-01-03,0.9999999999999999
2018-01-04,0.9999999999999999
2018-01-05,0.9999999999999999
2018-01-06,0.9999999999999999
2018-01-07,0.9999999999999999
2018-01-08,0.9999999999999999
2018-01-09,0.9999999999999999
2018-01-10,0.9999999999999999
2018-01-11,0.9999999999999999
2018-01-12,0.9999999999999999
2018-01-13,0.9999999999999999
2018-01-14,0.9999999999999999
2018-01-15,0.9999999999999999
2018-01-16,0.9999999999999999
2018-01-17,0.9999999999999999
2018-01-18,0.9999999999999999
2018-01-19,0.9999999999999999
2018-01-20,0.9999999999999999
2018-01-21,3.9999999999999996
2018-01-22,3.9999999999999996
2018-01-23,3.9999999999999996
2018-01-24,3.9999999999999996
2018-01-25,3.9999999999999996
2018-01-26,3.9999999999999996
2018-01-27,3.9999999999999996
2018-01-28,3.9999999999999996
2018-01-29,3.9999999999999996
2018-01-30,3.9999999999999996
2018-01-31,3.9999999999999996
2018-02-01,3.9999999999999996
2018-02-02,3.9999999999999996
2018-02-03,3.9999999999999996
2018-02-04,3.9999999999999996
2018-02-05,3.9999999999999996
2018-02-06,3.9999999999999996
2018-02-07,3.9999999999999996
2018-02-08,3.9999999999999996
2018-02-09,3.9999999999999996
2018-02-10,3.9999999999999996
2018-02-11,3.9999999999999996
2018-02-12,3.9999999999999996
2018-02-13,3.9999999999999996
2018-02-14,3.9999999999999996
2018-02-15,3.9999999999999996
2018-02-16,3.9999999999999996
2018-02-17,3.9999999999999996
2018-02-18,3.9999999999999996
2018-02-19,3.9999999999999996
2018-02-20,3.9999999999999996
2018-02-21,3.9999999999999996
2018-02-22,3.9999999999999996
2018-02-23,3.9999999999999996
2018-02-24,3.9999999999999996
2018-02-25,3.9999999999999996
2018-02-26,3.9999999999999996
2018-02-27,3.9999999999999996
2018-02-28,3.9999999999999996
2018-03-01,3.9999999999999996
2018-03-02,3.9999999999999996
2018-03-03,3.9999999999999996
2018-03-04,3.9999999999999996
2018-03-05,3.9999999999999996
2018-03-06,3.9999999999999996
2018-03-07,3.9999999999999996
2018-03-08,3.9999999999999996
2018-03-09,3.9999999999999996
2018-03-10,3.9999999999999996
2018-03-11,3.9999999999999996
2018-03-12,3.9999999999999996
2018-03-13,3.9999999999999996
2018-03-14,3.9999999999999996
2018-03-15,3.9999999999999996
2018-03-16,3.9999999999999996
2018-03-17,3.9999999999999996
2018-03-18,3.9999999999999996
2018-03-19,3.9999999999999996
2018-03-20,3.9999999999999996
2018-03-21,3.9999999999999996
2018-03-22,3.9999999999999996
2018-03-23,3.9999999999999996
2018-03-24,3.9999999999999996
2018-03-25,3.9999999999999996
2018-03-26,3.9999999999999996
2018-03-27,3.9999999999999996
2018-03-28,3.9999999999999996
2018-03-29,3.9999999999999996
2018-03-30,3.9999999999999996
2018-03-31,3.9999999999999996
2018-04-01,3.9999999999999996
2018-04-02,3.9999999999999996
2018-04-03,3.9999999999999996
2018-04-04,3.9999999999999996
2018-04-05,3.9999999999999996
2018-04-06,3.9999999999999996
2018-04-07,3.9999999999999996
2018-04-08,3.9999999999999996
2018-04-09,3.9999999999999996
2018-04-10,3.9999999999999996
2018-04-11,3.9999999999999996
2018-04-12,3.9999999999999996
2018-04-13,3.9999999999999996
2018-04-14,3.9999999999999996
