,ann_return,ann_vol,sharpe,max_dd,calmar,hit_rate,win_loss
COVID (2020-03),1.0699953678902736,0.6185871203214934,1.7297407798180042,-0.1010877468815018,10.584817654948385,0.41379310344827586,3.68671543328913
Russia/Ukraine (2022),0.43251218709419215,0.15287493291982068,2.8291897097415877,-0.04415823281169007,9.794599094094467,0.5824175824175825,1.1796604856168842
SVB (2023-03),0.0008951551111776662,0.0001757311459867385,5.093889908651815,-3.783060681639139e-05,23.66219277217118,0.3787878787878788,1.9846289498807188
Tariff Shock (2025),0.0019408266869567054,0.0003196877356170498,6.071007645040218,-2.994972949277308e-05,64.80281190603174,0.7441860465116279,1.6544738854811447
