label,n_days,total_pnl,ann_return,ann_vol,sharpe,max_dd,n_trades,hit_rate,avg_win,avg_loss,win_loss_ratio,avg_hold_days,max_win_streak,max_loss_streak,spread,lb_resid,entry_z,exit_z,max_hold,model
GC_cal12_fv_fv_lb40_ez1.0_xz0.0_mh40,2129,345.21,40.86,67.33,0.607,-122.95,57,0.702,5.77,-1.707,3.38,21.8,9,7,GC_cal12_fv,40,1.0,0.0,40,fair_value
SI_cal12_fv_fv_lb40_ez2.5_xz0.5_mh40,2129,442.03,52.32,54.675,0.957,-72.53,35,0.514,22.306,-2.824,7.9,23.1,7,7,SI_cal12_fv,40,2.5,0.5,40,fair_value
GC_fly_fv_fv_lb20_ez2.5_xz0.0_mh40,2129,262.01,31.01,63.346,0.49,-121.1,43,0.674,9.567,-2.414,3.96,25.7,7,2,GC_fly_fv,20,2.5,0.0,40,fair_value
SI_fly_fv_fv_lb60_ez2.5_xz0.0_mh40,2129,390.32,46.2,59.422,0.777,-50.87,25,0.64,23.524,-6.824,3.45,37.0,11,2,SI_fly_fv,60,2.5,0.0,40,fair_value
