label,n_days,total_pnl,ann_return,ann_vol,sharpe,max_dd,n_trades,hit_rate,avg_win,avg_loss,win_loss_ratio,avg_hold_days,max_win_streak,max_loss_streak,spread,lb_resid,entry_z,exit_z,max_hold,model
GC_fly_fv_fv_lb20_ez1.5_xz0.5_mh5,2129,-26.55,-3.14,59.155,-0.053,-163.44,216,0.208,3.599,-0.474,7.59,2.5,5,20,GC_fly_fv,20,1.5,0.5,5,fair_value
GC_fly_fv_fv_lb20_ez1.5_xz0.5_mh10,2129,148.22,17.54,66.831,0.263,-160.2,128,0.406,2.545,-1.177,2.16,5.6,8,10,GC_fly_fv,20,1.5,0.5,10,fair_value
GC_fly_fv_fv_lb20_ez1.5_xz0.5_mh20,2129,183.92,21.77,66.773,0.326,-160.2,87,0.552,3.451,-2.065,1.67,10.6,8,8,GC_fly_fv,20,1.5,0.5,20,fair_value
GC_fly_fv_fv_lb20_ez1.5_xz0.5_mh40,2129,211.53,25.04,66.751,0.375,-160.2,72,0.653,3.802,-1.935,1.97,15.8,14,4,GC_fly_fv,20,1.5,0.5,40,fair_value
GC_fly_fv_fv_lb20_ez2.0_xz0.0_mh5,2129,-25.85,-3.06,58.443,-0.052,-161.9,176,0.233,3.492,-0.478,7.3,2.8,5,25,GC_fly_fv,20,2.0,0.0,5,fair_value
GC_fly_fv_fv_lb20_ez2.0_xz0.0_mh10,2129,142.22,16.83,66.381,0.254,-160.2,104,0.375,3.509,-1.183,2.97,7.1,8,9,GC_fly_fv,20,2.0,0.0,10,fair_value
GC_fly_fv_fv_lb20_ez2.0_xz0.0_mh20,2129,191.2,22.63,66.565,0.34,-160.2,68,0.559,5.263,-2.337,2.25,13.9,7,4,GC_fly_fv,20,2.0,0.0,20,fair_value
GC_fly_fv_fv_lb20_ez2.0_xz0.0_mh40,2129,210.32,24.89,66.384,0.375,-161.14,52,0.712,6.273,-3.385,1.85,24.4,8,2,GC_fly_fv,20,2.0,0.0,40,fair_value
GC_fly_fv_fv_lb20_ez2.0_xz0.5_mh5,2129,-26.0,-3.08,58.294,-0.053,-161.24,176,0.239,3.402,-0.486,6.99,2.7,6,25,GC_fly_fv,20,2.0,0.5,5,fair_value
GC_fly_fv_fv_lb20_ez2.0_xz0.5_mh10,2129,151.86,17.98,66.007,0.272,-160.2,106,0.425,3.181,-1.398,2.28,6.7,8,9,GC_fly_fv,20,2.0,0.5,10,fair_value
GC_fly_fv_fv_lb20_ez2.0_xz0.5_mh20,2129,194.66,23.04,66.169,0.348,-160.2,74,0.622,4.241,-2.348,1.81,12.0,7,4,GC_fly_fv,20,2.0,0.5,20,fair_value
GC_fly_fv_fv_lb20_ez2.0_xz0.5_mh40,2129,205.13,24.28,66.02,0.368,-161.14,61,0.77,4.811,-2.596,1.85,18.5,13,2,GC_fly_fv,20,2.0,0.5,40,fair_value
GC_fly_fv_fv_lb20_ez2.5_xz0.0_mh5,2129,113.62,13.45,62.77,0.214,-133.25,132,0.22,6.246,-0.624,10.01,2.9,7,26,GC_fly_fv,20,2.5,0.0,5,fair_value
GC_fly_fv_fv_lb20_ez2.5_xz0.0_mh10,2129,216.2,25.59,63.317,0.404,-121.1,80,0.425,7.395,-1.498,4.94,7.6,5,10,GC_fly_fv,20,2.5,0.0,10,fair_value
GC_fly_fv_fv_lb20_ez2.5_xz0.0_mh20,2129,238.92,28.28,63.386,0.446,-121.1,53,0.547,9.006,-2.738,3.29,14.8,4,6,GC_fly_fv,20,2.5,0.0,20,fair_value
GC_fly_fv_fv_lb20_ez2.5_xz0.0_mh40,2129,262.01,31.01,63.346,0.49,-121.1,43,0.674,9.567,-2.414,3.96,25.7,7,2,GC_fly_fv,20,2.5,0.0,40,fair_value
GC_fly_fv_fv_lb20_ez2.5_xz0.5_mh5,2129,114.81,13.59,62.689,0.217,-133.25,132,0.227,6.154,-0.625,9.85,2.8,7,26,GC_fly_fv,20,2.5,0.5,5,fair_value
GC_fly_fv_fv_lb20_ez2.5_xz0.5_mh10,2129,214.25,25.36,63.017,0.402,-121.1,81,0.457,6.699,-1.445,4.64,7.0,7,10,GC_fly_fv,20,2.5,0.5,10,fair_value
GC_fly_fv_fv_lb20_ez2.5_xz0.5_mh20,2129,234.64,27.77,63.018,0.441,-121.1,57,0.596,7.477,-2.729,2.74,12.6,6,6,GC_fly_fv,20,2.5,0.5,20,fair_value
GC_fly_fv_fv_lb20_ez2.5_xz0.5_mh40,2129,254.91,30.17,62.975,0.479,-121.1,47,0.766,7.454,-2.763,2.7,20.8,8,2,GC_fly_fv,20,2.5,0.5,40,fair_value
GC_fly_fv_fv_lb40_ez1.0_xz0.0_mh5,2129,47.8,5.66,66.368,0.085,-170.74,225,0.147,4.728,-0.408,11.6,2.2,4,32,GC_fly_fv,40,1.0,0.0,5,fair_value
GC_fly_fv_fv_lb40_ez1.0_xz0.0_mh10,2129,136.78,16.19,67.456,0.24,-160.2,124,0.242,4.186,-1.187,3.53,5.6,6,15,GC_fly_fv,40,1.0,0.0,10,fair_value
GC_fly_fv_fv_lb40_ez1.0_xz0.0_mh20,2129,200.48,23.73,67.516,0.351,-160.2,78,0.423,6.209,-1.551,4.0,11.8,6,10,GC_fly_fv,40,1.0,0.0,20,fair_value
GC_fly_fv_fv_lb40_ez1.0_xz0.0_mh40,2129,237.21,28.08,67.544,0.416,-160.2,58,0.552,6.93,-2.206,3.14,19.3,5,4,GC_fly_fv,40,1.0,0.0,40,fair_value
GC_fly_fv_fv_lb40_ez1.0_xz0.5_mh5,2129,46.02,5.45,65.866,0.083,-170.81,225,0.178,3.74,-0.542,6.9,2.3,6,29,GC_fly_fv,40,1.0,0.5,5,fair_value
GC_fly_fv_fv_lb40_ez1.0_xz0.5_mh10,2129,165.98,19.65,66.195,0.297,-160.2,134,0.388,3.514,-1.48,2.37,5.7,6,13,GC_fly_fv,40,1.0,0.5,10,fair_value
GC_fly_fv_fv_lb40_ez1.0_xz0.5_mh20,2129,202.44,23.96,66.192,0.362,-160.2,97,0.577,3.665,-1.89,1.94,9.9,7,6,GC_fly_fv,40,1.0,0.5,20,fair_value
GC_fly_fv_fv_lb40_ez1.0_xz0.5_mh40,2129,220.88,26.14,66.188,0.395,-160.2,82,0.659,3.9,-2.115,1.84,14.5,11,5,GC_fly_fv,40,1.0,0.5,40,fair_value
GC_fly_fv_fv_lb40_ez1.5_xz0.0_mh5,2129,90.23,10.68,64.422,0.166,-160.6,171,0.228,4.035,-0.575,7.02,2.8,5,17,GC_fly_fv,40,1.5,0.0,5,fair_value
GC_fly_fv_fv_lb40_ez1.5_xz0.0_mh10,2129,171.83,20.34,65.042,0.313,-160.2,96,0.354,4.933,-1.31,3.77,7.2,6,11,GC_fly_fv,40,1.5,0.0,10,fair_value
GC_fly_fv_fv_lb40_ez1.5_xz0.0_mh20,2129,208.42,24.67,65.167,0.379,-167.78,65,0.554,6.849,-1.795,3.81,13.9,6,5,GC_fly_fv,40,1.5,0.0,20,fair_value
GC_fly_fv_fv_lb40_ez1.5_xz0.0_mh40,2129,259.93,30.77,65.224,0.472,-161.14,48,0.604,8.774,-2.09,4.2,22.8,5,3,GC_fly_fv,40,1.5,0.0,40,fair_value
GC_fly_fv_fv_lb40_ez1.5_xz0.5_mh5,2129,73.49,8.7,64.097,0.136,-166.78,172,0.238,3.339,-0.601,5.56,2.8,6,17,GC_fly_fv,40,1.5,0.5,5,fair_value
GC_fly_fv_fv_lb40_ez1.5_xz0.5_mh10,2129,149.47,17.69,64.359,0.275,-160.2,101,0.455,3.249,-1.381,2.35,6.7,6,11,GC_fly_fv,40,1.5,0.5,10,fair_value
GC_fly_fv_fv_lb40_ez1.5_xz0.5_mh20,2129,185.28,21.93,64.527,0.34,-165.09,76,0.645,4.616,-1.733,2.66,11.8,8,5,GC_fly_fv,40,1.5,0.5,20,fair_value
GC_fly_fv_fv_lb40_ez1.5_xz0.5_mh40,2129,211.78,25.07,64.472,0.389,-162.09,64,0.719,5.043,-2.34,2.16,17.9,12,3,GC_fly_fv,40,1.5,0.5,40,fair_value
GC_fly_fv_fv_lb40_ez2.0_xz0.0_mh5,2129,82.02,9.71,54.89,0.177,-174.45,111,0.243,6.577,-1.519,4.33,3.6,5,21,GC_fly_fv,40,2.0,0.0,5,fair_value
GC_fly_fv_fv_lb40_ez2.0_xz0.0_mh10,2129,213.56,25.28,63.1,0.401,-166.76,67,0.358,9.429,-1.487,6.34,8.5,4,12,GC_fly_fv,40,2.0,0.0,10,fair_value
GC_fly_fv_fv_lb40_ez2.0_xz0.0_mh20,2129,222.43,26.33,63.154,0.417,-165.46,47,0.532,9.304,-2.585,3.6,17.7,4,4,GC_fly_fv,40,2.0,0.0,20,fair_value
GC_fly_fv_fv_lb40_ez2.0_xz0.0_mh40,2129,253.03,29.95,63.058,0.475,-166.93,38,0.632,10.328,-2.463,4.19,27.5,5,3,GC_fly_fv,40,2.0,0.0,40,fair_value
GC_fly_fv_fv_lb40_ez2.0_xz0.5_mh5,2129,64.15,7.59,54.683,0.139,-174.45,111,0.243,6.275,-1.519,4.13,3.4,5,21,GC_fly_fv,40,2.0,0.5,5,fair_value
GC_fly_fv_fv_lb40_ez2.0_xz0.5_mh10,2129,217.34,25.73,62.764,0.41,-162.01,68,0.441,7.505,-1.547,4.85,7.6,4,9,GC_fly_fv,40,2.0,0.5,10,fair_value
GC_fly_fv_fv_lb40_ez2.0_xz0.5_mh20,2129,225.78,26.72,62.803,0.426,-160.2,52,0.596,7.39,-2.466,3.0,14.6,5,4,GC_fly_fv,40,2.0,0.5,20,fair_value
GC_fly_fv_fv_lb40_ez2.0_xz0.5_mh40,2129,238.89,28.28,62.709,0.451,-164.61,43,0.698,8.202,-2.642,3.11,20.9,7,3,GC_fly_fv,40,2.0,0.5,40,fair_value
GC_fly_fv_fv_lb40_ez2.5_xz0.0_mh5,2129,197.57,23.39,60.345,0.388,-132.27,77,0.299,8.925,-0.624,14.3,4.1,5,12,GC_fly_fv,40,2.5,0.0,5,fair_value
GC_fly_fv_fv_lb40_ez2.5_xz0.0_mh10,2129,239.34,28.33,60.573,0.468,-122.93,51,0.451,10.763,-0.982,10.96,9.5,5,6,GC_fly_fv,40,2.5,0.0,10,fair_value
GC_fly_fv_fv_lb40_ez2.5_xz0.0_mh20,2129,244.28,28.91,60.708,0.476,-121.1,39,0.564,11.669,-1.447,8.06,17.8,5,4,GC_fly_fv,40,2.5,0.0,20,fair_value
GC_fly_fv_fv_lb40_ez2.5_xz0.0_mh40,2129,247.84,29.34,60.627,0.484,-126.98,30,0.667,12.228,-2.07,5.91,31.4,7,2,GC_fly_fv,40,2.5,0.0,40,fair_value
GC_fly_fv_fv_lb40_ez2.5_xz0.5_mh5,2129,190.6,22.56,60.192,0.375,-132.27,77,0.299,8.628,-0.624,13.82,4.0,5,12,GC_fly_fv,40,2.5,0.5,5,fair_value
GC_fly_fv_fv_lb40_ez2.5_xz0.5_mh10,2129,240.82,28.5,60.331,0.472,-121.1,52,0.519,9.073,-0.935,9.7,8.8,8,5,GC_fly_fv,40,2.5,0.5,10,fair_value
GC_fly_fv_fv_lb40_ez2.5_xz0.5_mh20,2129,246.11,29.13,60.419,0.482,-121.1,40,0.6,10.609,-1.34,7.92,15.2,6,4,GC_fly_fv,40,2.5,0.5,20,fair_value
GC_fly_fv_fv_lb40_ez2.5_xz0.5_mh40,2129,240.5,28.47,60.34,0.472,-124.65,33,0.727,10.189,-1.963,5.19,25.0,7,2,GC_fly_fv,40,2.5,0.5,40,fair_value
GC_fly_fv_fv_lb60_ez1.0_xz0.0_mh5,2129,32.23,3.82,65.648,0.058,-166.05,201,0.174,4.239,-0.353,12.0,2.3,4,24,GC_fly_fv,60,1.0,0.0,5,fair_value
GC_fly_fv_fv_lb60_ez1.0_xz0.0_mh10,2129,130.6,15.46,66.624,0.232,-160.2,112,0.286,4.136,-1.116,3.71,6.2,5,13,GC_fly_fv,60,1.0,0.0,10,fair_value
GC_fly_fv_fv_lb60_ez1.0_xz0.0_mh20,2129,208.57,24.69,66.805,0.37,-160.2,73,0.479,5.393,-1.648,3.27,12.4,6,9,GC_fly_fv,60,1.0,0.0,20,fair_value
GC_fly_fv_fv_lb60_ez1.0_xz0.0_mh40,2129,240.89,28.51,66.839,0.427,-160.2,55,0.582,6.421,-2.611,2.46,21.5,6,4,GC_fly_fv,60,1.0,0.0,40,fair_value
GC_fly_fv_fv_lb60_ez1.0_xz0.5_mh5,2129,31.95,3.78,64.917,0.058,-170.8,200,0.205,3.788,-0.49,7.72,2.3,4,18,GC_fly_fv,60,1.0,0.5,5,fair_value
GC_fly_fv_fv_lb60_ez1.0_xz0.5_mh10,2129,135.26,16.01,64.969,0.246,-160.2,120,0.4,3.84,-1.303,2.95,6.0,7,10,GC_fly_fv,60,1.0,0.5,10,fair_value
GC_fly_fv_fv_lb60_ez1.0_xz0.5_mh20,2129,190.26,22.52,65.155,0.346,-160.2,87,0.552,4.01,-1.794,2.23,10.2,8,6,GC_fly_fv,60,1.0,0.5,20,fair_value
GC_fly_fv_fv_lb60_ez1.0_xz0.5_mh40,2129,211.79,25.07,65.145,0.385,-160.2,75,0.64,4.207,-2.037,2.06,15.9,8,4,GC_fly_fv,60,1.0,0.5,40,fair_value
GC_fly_fv_fv_lb60_ez1.5_xz0.0_mh5,2129,132.02,15.63,62.412,0.25,-160.2,143,0.273,5.174,-0.544,9.52,3.1,8,25,GC_fly_fv,60,1.5,0.0,5,fair_value
GC_fly_fv_fv_lb60_ez1.5_xz0.0_mh10,2129,207.36,24.54,64.01,0.383,-160.2,80,0.438,5.77,-1.302,4.43,7.7,6,10,GC_fly_fv,60,1.5,0.0,10,fair_value
GC_fly_fv_fv_lb60_ez1.5_xz0.0_mh20,2129,242.78,28.74,64.009,0.449,-160.2,55,0.6,7.778,-1.813,4.29,16.6,7,5,GC_fly_fv,60,1.5,0.0,20,fair_value
GC_fly_fv_fv_lb60_ez1.5_xz0.0_mh40,2129,264.68,31.33,64.151,0.488,-160.2,41,0.683,9.374,-2.3,4.08,27.6,6,3,GC_fly_fv,60,1.5,0.0,40,fair_value
GC_fly_fv_fv_lb60_ez1.5_xz0.5_mh5,2129,102.31,12.11,62.107,0.195,-162.62,143,0.273,4.423,-0.56,7.9,3.0,8,25,GC_fly_fv,60,1.5,0.5,5,fair_value
GC_fly_fv_fv_lb60_ez1.5_xz0.5_mh10,2129,190.43,22.54,63.047,0.358,-160.2,84,0.5,4.436,-1.337,3.32,7.0,7,10,GC_fly_fv,60,1.5,0.5,10,fair_value
GC_fly_fv_fv_lb60_ez1.5_xz0.5_mh20,2129,216.85,25.67,63.087,0.407,-160.2,62,0.661,5.418,-2.109,2.57,13.5,7,5,GC_fly_fv,60,1.5,0.5,20,fair_value
GC_fly_fv_fv_lb60_ez1.5_xz0.5_mh40,2129,224.62,26.59,63.1,0.421,-160.2,54,0.741,5.753,-2.404,2.39,19.0,8,2,GC_fly_fv,60,1.5,0.5,40,fair_value
GC_fly_fv_fv_lb60_ez2.0_xz0.0_mh5,2129,138.46,16.39,61.296,0.267,-174.17,91,0.264,6.787,-1.456,4.66,3.6,5,17,GC_fly_fv,60,2.0,0.0,5,fair_value
GC_fly_fv_fv_lb60_ez2.0_xz0.0_mh10,2129,176.03,20.84,61.795,0.337,-166.2,58,0.431,7.175,-1.168,6.14,8.8,5,9,GC_fly_fv,60,2.0,0.0,10,fair_value
GC_fly_fv_fv_lb60_ez2.0_xz0.0_mh20,2129,195.24,23.11,61.896,0.373,-162.01,43,0.605,7.568,-1.801,4.2,18.4,6,4,GC_fly_fv,60,2.0,0.0,20,fair_value
GC_fly_fv_fv_lb60_ez2.0_xz0.0_mh40,2129,215.37,25.49,62.001,0.411,-160.2,34,0.647,9.501,-2.082,4.56,30.0,4,2,GC_fly_fv,60,2.0,0.0,40,fair_value
GC_fly_fv_fv_lb60_ez2.0_xz0.5_mh5,2129,119.63,14.16,61.017,0.232,-173.51,91,0.264,5.919,-1.456,4.06,3.4,5,17,GC_fly_fv,60,2.0,0.5,5,fair_value
GC_fly_fv_fv_lb60_ez2.0_xz0.5_mh10,2129,178.63,21.14,61.396,0.344,-160.2,59,0.508,5.675,-1.1,5.16,8.0,5,8,GC_fly_fv,60,2.0,0.5,10,fair_value
GC_fly_fv_fv_lb60_ez2.0_xz0.5_mh20,2129,192.21,22.75,61.464,0.37,-160.2,47,0.66,5.959,-1.632,3.65,14.5,7,4,GC_fly_fv,60,2.0,0.5,20,fair_value
GC_fly_fv_fv_lb60_ez2.0_xz0.5_mh40,2129,207.23,24.53,61.512,0.399,-160.2,39,0.718,6.994,-2.022,3.46,20.9,8,2,GC_fly_fv,60,2.0,0.5,40,fair_value
GC_fly_fv_fv_lb60_ez2.5_xz0.0_mh5,2129,-46.54,-5.51,50.038,-0.11,-160.2,48,0.271,3.17,-0.693,4.57,4.6,5,11,GC_fly_fv,60,2.5,0.0,5,fair_value
GC_fly_fv_fv_lb60_ez2.5_xz0.0_mh10,2129,44.78,5.3,58.539,0.091,-160.2,33,0.364,3.003,-1.343,2.24,11.1,3,6,GC_fly_fv,60,2.5,0.0,10,fair_value
GC_fly_fv_fv_lb60_ez2.5_xz0.0_mh20,2129,70.5,8.35,58.65,0.142,-160.2,24,0.625,4.211,-2.086,2.02,23.4,3,2,GC_fly_fv,60,2.5,0.0,20,fair_value
GC_fly_fv_fv_lb60_ez2.5_xz0.0_mh40,2129,83.03,9.83,58.703,0.167,-160.2,21,0.714,5.442,-3.09,1.76,38.6,7,1,GC_fly_fv,60,2.5,0.0,40,fair_value
GC_fly_fv_fv_lb60_ez2.5_xz0.5_mh5,2129,-44.31,-5.24,49.971,-0.105,-160.2,48,0.271,3.215,-0.693,4.64,4.4,5,11,GC_fly_fv,60,2.5,0.5,5,fair_value
GC_fly_fv_fv_lb60_ez2.5_xz0.5_mh10,2129,66.88,7.92,58.394,0.136,-160.2,34,0.5,3.036,-1.415,2.15,9.9,6,6,GC_fly_fv,60,2.5,0.5,10,fair_value
GC_fly_fv_fv_lb60_ez2.5_xz0.5_mh20,2129,87.47,10.35,58.484,0.177,-160.2,27,0.704,3.943,-1.979,1.99,19.1,6,2,GC_fly_fv,60,2.5,0.5,20,fair_value
GC_fly_fv_fv_lb60_ez2.5_xz0.5_mh40,2129,95.84,11.34,58.511,0.194,-160.2,24,0.833,4.278,-2.416,1.77,27.5,9,1,GC_fly_fv,60,2.5,0.5,40,fair_value
SI_fly_fv_fv_lb20_ez1.0_xz0.0_mh5,2129,90.0,10.65,88.046,0.121,-235.14,301,0.113,8.667,-0.594,14.58,1.0,3,64,SI_fly_fv,20,1.0,0.0,5,fair_value
SI_fly_fv_fv_lb20_ez1.0_xz0.0_mh10,2129,214.83,25.43,88.577,0.287,-179.24,161,0.149,9.961,-0.936,10.65,2.4,2,20,SI_fly_fv,20,1.0,0.0,10,fair_value
SI_fly_fv_fv_lb20_ez1.0_xz0.0_mh20,2129,275.15,32.57,88.534,0.368,-164.24,90,0.211,17.171,-1.905,9.01,6.2,3,16,SI_fly_fv,20,1.0,0.0,20,fair_value
SI_fly_fv_fv_lb20_ez1.0_xz0.0_mh40,2129,314.48,37.22,88.504,0.421,-156.24,54,0.352,19.628,-5.725,3.43,17.1,3,8,SI_fly_fv,20,1.0,0.0,40,fair_value
SI_fly_fv_fv_lb20_ez1.0_xz0.5_mh5,2129,10.19,1.21,83.922,0.014,-236.07,299,0.124,8.858,-0.781,11.34,1.1,3,64,SI_fly_fv,20,1.0,0.5,5,fair_value
SI_fly_fv_fv_lb20_ez1.0_xz0.5_mh10,2129,133.74,15.83,84.238,0.188,-177.19,158,0.19,8.984,-1.619,5.55,2.9,4,20,SI_fly_fv,20,1.0,0.5,10,fair_value
SI_fly_fv_fv_lb20_ez1.0_xz0.5_mh20,2129,202.59,23.98,84.111,0.285,-162.19,92,0.315,11.901,-3.388,3.51,7.3,4,16,SI_fly_fv,20,1.0,0.5,20,fair_value
SI_fly_fv_fv_lb20_ez1.0_xz0.5_mh40,2129,237.59,28.12,84.052,0.335,-154.19,61,0.475,12.084,-8.058,1.5,17.7,5,7,SI_fly_fv,20,1.0,0.5,40,fair_value
SI_fly_fv_fv_lb20_ez1.5_xz0.0_mh5,2129,201.26,23.82,81.914,0.291,-181.98,269,0.13,12.958,-0.558,23.21,1.3,5,61,SI_fly_fv,20,1.5,0.0,5,fair_value
SI_fly_fv_fv_lb20_ez1.5_xz0.0_mh10,2129,287.82,34.07,83.773,0.407,-129.74,141,0.213,13.778,-0.978,14.09,3.6,4,18,SI_fly_fv,20,1.5,0.0,10,fair_value
SI_fly_fv_fv_lb20_ez1.5_xz0.0_mh20,2129,348.5,41.25,83.976,0.491,-115.31,77,0.26,19.435,-1.539,12.63,8.9,5,16,SI_fly_fv,20,1.5,0.0,20,fair_value
SI_fly_fv_fv_lb20_ez1.5_xz0.0_mh40,2129,385.83,45.67,83.945,0.544,-107.31,46,0.37,26.32,-5.839,4.51,24.2,7,8,SI_fly_fv,20,1.5,0.0,40,fair_value
SI_fly_fv_fv_lb20_ez1.5_xz0.5_mh5,2129,108.64,12.86,77.023,0.167,-181.92,270,0.137,10.756,-0.561,19.19,1.3,8,61,SI_fly_fv,20,1.5,0.5,5,fair_value
SI_fly_fv_fv_lb20_ez1.5_xz0.5_mh10,2129,179.35,21.23,78.517,0.27,-127.69,143,0.231,10.409,-1.288,8.08,3.5,7,18,SI_fly_fv,20,1.5,0.5,10,fair_value
SI_fly_fv_fv_lb20_ez1.5_xz0.5_mh20,2129,237.04,28.06,78.67,0.357,-113.27,81,0.333,12.779,-2.229,5.73,8.7,8,16,SI_fly_fv,20,1.5,0.5,20,fair_value
SI_fly_fv_fv_lb20_ez1.5_xz0.5_mh40,2129,271.04,32.08,78.617,0.408,-105.27,53,0.472,15.389,-7.484,2.06,21.5,10,7,SI_fly_fv,20,1.5,0.5,40,fair_value
SI_fly_fv_fv_lb20_ez2.0_xz0.0_mh5,2129,66.34,7.85,73.898,0.106,-186.13,236,0.102,11.593,-0.472,24.57,1.3,5,58,SI_fly_fv,20,2.0,0.0,5,fair_value
SI_fly_fv_fv_lb20_ez2.0_xz0.0_mh10,2129,134.33,15.9,75.501,0.211,-128.1,124,0.21,10.2,-1.277,7.99,4.3,5,17,SI_fly_fv,20,2.0,0.0,10,fair_value
SI_fly_fv_fv_lb20_ez2.0_xz0.0_mh20,2129,321.24,38.02,82.005,0.464,-110.71,66,0.258,20.417,-3.218,6.35,11.5,3,14,SI_fly_fv,20,2.0,0.0,20,fair_value
SI_fly_fv_fv_lb20_ez2.0_xz0.0_mh40,2129,350.2,41.45,82.069,0.505,-102.71,41,0.463,23.844,-11.262,2.12,28.0,7,9,SI_fly_fv,20,2.0,0.0,40,fair_value
SI_fly_fv_fv_lb20_ez2.0_xz0.5_mh5,2129,36.78,4.35,73.282,0.059,-186.06,237,0.105,10.833,-0.472,22.96,1.3,6,58,SI_fly_fv,20,2.0,0.5,5,fair_value
SI_fly_fv_fv_lb20_ez2.0_xz0.5_mh10,2129,92.07,10.9,74.826,0.146,-129.24,125,0.216,9.444,-1.277,7.39,4.2,6,17,SI_fly_fv,20,2.0,0.5,10,fair_value
SI_fly_fv_fv_lb20_ez2.0_xz0.5_mh20,2129,206.06,24.39,76.97,0.317,-108.66,68,0.279,14.739,-3.277,4.5,11.2,4,14,SI_fly_fv,20,2.0,0.5,20,fair_value
SI_fly_fv_fv_lb20_ez2.0_xz0.5_mh40,2129,239.42,28.34,76.859,0.369,-100.66,44,0.523,15.826,-14.098,1.12,27.8,8,7,SI_fly_fv,20,2.0,0.5,40,fair_value
SI_fly_fv_fv_lb20_ez2.5_xz0.0_mh5,2129,-82.53,-9.77,68.293,-0.143,-217.79,196,0.092,7.34,-1.094,6.71,1.7,2,43,SI_fly_fv,20,2.5,0.0,5,fair_value
SI_fly_fv_fv_lb20_ez2.5_xz0.0_mh10,2129,-51.19,-6.06,70.193,-0.086,-163.11,103,0.204,7.032,-2.272,3.09,5.0,3,10,SI_fly_fv,20,2.5,0.0,10,fair_value
SI_fly_fv_fv_lb20_ez2.5_xz0.0_mh20,2129,143.55,16.99,77.698,0.219,-141.47,62,0.242,18.142,-2.219,8.18,10.6,5,16,SI_fly_fv,20,2.5,0.0,20,fair_value
SI_fly_fv_fv_lb20_ez2.5_xz0.0_mh40,2129,200.26,23.7,78.02,0.304,-120.51,36,0.389,23.059,-10.239,2.25,26.9,10,16,SI_fly_fv,20,2.5,0.0,40,fair_value
SI_fly_fv_fv_lb20_ez2.5_xz0.5_mh5,2129,-114.6,-13.56,67.708,-0.2,-217.79,196,0.092,7.005,-1.094,6.4,1.7,2,43,SI_fly_fv,20,2.5,0.5,5,fair_value
SI_fly_fv_fv_lb20_ez2.5_xz0.5_mh10,2129,-77.64,-9.19,69.591,-0.132,-163.11,104,0.212,5.589,-2.676,2.09,5.1,3,10,SI_fly_fv,20,2.5,0.5,10,fair_value
SI_fly_fv_fv_lb20_ez2.5_xz0.5_mh20,2129,50.19,5.94,72.426,0.082,-131.55,63,0.254,11.354,-2.79,4.07,10.6,5,16,SI_fly_fv,20,2.5,0.5,20,fair_value
SI_fly_fv_fv_lb20_ez2.5_xz0.5_mh40,2129,85.99,10.18,72.48,0.14,-118.33,38,0.421,13.47,-12.421,1.08,27.2,10,8,SI_fly_fv,20,2.5,0.5,40,fair_value
SI_fly_fv_fv_lb40_ez1.0_xz0.0_mh5,2129,205.07,24.27,83.321,0.291,-183.28,253,0.126,11.121,-0.67,16.59,1.4,3,35,SI_fly_fv,40,1.0,0.0,5,fair_value
SI_fly_fv_fv_lb40_ez1.0_xz0.0_mh10,2129,249.43,29.52,84.251,0.35,-129.04,135,0.156,11.734,-2.247,5.22,3.4,3,30,SI_fly_fv,40,1.0,0.0,10,fair_value
SI_fly_fv_fv_lb40_ez1.0_xz0.0_mh20,2129,337.21,39.91,84.407,0.473,-113.56,76,0.25,21.461,-3.086,6.95,8.9,5,15,SI_fly_fv,40,1.0,0.0,20,fair_value
SI_fly_fv_fv_lb40_ez1.0_xz0.0_mh40,2129,350.02,41.43,84.851,0.488,-104.16,49,0.347,21.925,-3.408,6.43,17.9,4,7,SI_fly_fv,40,1.0,0.0,40,fair_value
SI_fly_fv_fv_lb40_ez1.0_xz0.5_mh5,2129,121.33,14.36,78.571,0.183,-179.79,253,0.142,10.606,-0.757,14.02,1.4,4,35,SI_fly_fv,40,1.0,0.5,5,fair_value
SI_fly_fv_fv_lb40_ez1.0_xz0.5_mh10,2129,203.65,24.1,79.344,0.304,-123.12,136,0.206,9.829,-2.531,3.88,3.8,4,30,SI_fly_fv,40,1.0,0.5,10,fair_value
SI_fly_fv_fv_lb40_ez1.0_xz0.5_mh20,2129,263.35,31.17,79.402,0.393,-109.12,80,0.35,13.627,-4.478,3.04,9.6,7,13,SI_fly_fv,40,1.0,0.5,20,fair_value
SI_fly_fv_fv_lb40_ez1.0_xz0.5_mh40,2129,303.74,35.95,79.457,0.452,-102.12,56,0.518,13.964,-8.735,1.6,20.1,9,7,SI_fly_fv,40,1.0,0.5,40,fair_value
SI_fly_fv_fv_lb40_ez1.5_xz0.0_mh5,2129,84.3,9.98,72.253,0.138,-161.13,212,0.099,15.767,-0.473,33.33,1.2,4,33,SI_fly_fv,40,1.5,0.0,5,fair_value
SI_fly_fv_fv_lb40_ez1.5_xz0.0_mh10,2129,157.72,18.67,73.962,0.252,-122.76,111,0.162,15.323,-2.177,7.04,4.0,6,27,SI_fly_fv,40,1.5,0.0,10,fair_value
SI_fly_fv_fv_lb40_ez1.5_xz0.0_mh20,2129,343.11,40.61,81.003,0.501,-112.18,63,0.27,25.26,-3.6,7.02,11.9,5,12,SI_fly_fv,40,1.5,0.0,20,fair_value
