feature_type,metal,bucket,feature_col,signal_col,entry_z,exit_z,max_hold,cost_bp,is_sharpe,is_maxdd,is_hitrate,is_num_trades,is_carry_frac,oos_sharpe,oos_maxdd,oos_hitrate,oos_num_trades,dd_ratio,validated
gc_cal,gc_cal,2m,gc_comex_carry_2m,z_gc_comex_carry_2m,1.5,0.3,20,0.08,-0.4912201704780281,-26.651859742417493,0.358974358974359,39,0.5681879291124704,1.8441390057507767,-3.958858331923173,0.7272727272727273,22,0.14853966553120093,True
gc_cal,gc_cal,2m,gc_comex_carry_2m,z_gc_comex_carry_2m,1.5,0.3,20,0.12,-0.582418819195956,-27.611859742417494,0.358974358974359,39,0.4790558937742927,1.6814126515249956,-4.038858331923174,0.6818181818181818,22,0.14627259335663859,True
gc_cal,gc_cal,2m,gc_comex_carry_2m,z_gc_comex_carry_2m,1.5,0.3,63,0.08,-0.6103013465357657,-30.913487769137475,0.4074074074074074,27,0.5885514368748559,1.6591546783965891,-5.007453505969776,0.6666666666666666,15,0.16198280644893698,True
gc_cal,gc_cal,2m,gc_comex_carry_2m,z_gc_comex_carry_2m,1.5,0.3,63,0.12,-0.6752071008525675,-31.39348776913748,0.4074074074074074,27,0.5320885250299721,1.5670492614677949,-5.087453505969777,0.6,15,0.1620544217126198,True
gc_cal,gc_cal,2m,gc_comex_carry_2m,z_gc_comex_carry_2m,1.5,0.3,126,0.08,-0.4995897274201439,-24.42599757509688,0.4166666666666667,24,0.7519455499474389,0.8970843795314237,-13.236052026388206,0.6153846153846154,13,0.5418837853272697,False
gc_cal,gc_cal,2m,gc_comex_carry_2m,z_gc_comex_carry_2m,1.5,0.3,126,0.12,-0.5585318439797844,-24.745997575096894,0.4166666666666667,24,0.6726940644358117,0.8204429481013276,-13.316052026388206,0.5384615384615384,13,0.5381093239817012,False
gc_cal,gc_cal,2m,gc_comex_carry_2m,z_gc_comex_carry_2m,1.5,0.3,252,0.08,-0.6527183028177845,-31.622288337437464,0.43478260869565216,23,0.6385191193304048,0.08803127588456797,-24.57141342673928,0.6153846153846154,13,0.777028315109293,False
gc_cal,gc_cal,2m,gc_comex_carry_2m,z_gc_comex_carry_2m,1.5,0.3,252,0.12,-0.7043626982759363,-31.862288337437462,0.43478260869565216,23,0.5918338613518539,0.022622019554902447,-24.571413426739277,0.5384615384615384,13,0.7711754148514319,False
gc_cal,gc_cal,2m,gc_comex_carry_2m,z_gc_comex_carry_2m,1.5,0.5,20,0.08,-0.5232922637387781,-26.90034613969509,0.358974358974359,39,0.5283422224357062,1.8019030268024732,-3.958858331923173,0.7272727272727273,22,0.14716756101815895,True
gc_cal,gc_cal,2m,gc_comex_carry_2m,z_gc_comex_carry_2m,1.5,0.5,20,0.12,-0.6155670633920335,-28.260346139695088,0.358974358974359,39,0.44903116981036373,1.6381249509456226,-4.038858331923174,0.6818181818181818,22,0.1429160956471834,True
