metal,mode,entry_usd_long,entry_usd_short,exit_usd,is_n_trades,is_n_long,is_n_short,is_win_rate,is_win_rate_long,is_win_rate_short,is_ann_ret_bp,is_ann_vol_bp,is_sharpe,is_max_dd_bp,is_avg_pnl_bp,is_avg_carry_bp,is_avg_basis_bp,oos_n_trades,oos_n_long,oos_n_short,oos_win_rate,oos_win_rate_long,oos_win_rate_short,oos_ann_ret_bp,oos_ann_vol_bp,oos_sharpe,oos_max_dd_bp,oos_avg_pnl_bp,oos_avg_carry_bp,oos_avg_basis_bp
xau,BOTH,2.0,28.6876791415293,0.0,5,3,2,1.0,1.0,1.0,478.49240141593845,270.82792059688126,1.766776484349851,-126.44149251227684,47.1291353036664,11.375408730158732,35.993726573507665,4,4,0,0.0,0.0,,-94.58364301434442,26.01418829784162,-3.6358483275141036,-49.1259698374443,-11.822440446447189,-15.009399342070711,3.4269588956235233
xau,LONG,2.0,28.6876791415293,0.0,3,3,0,1.0,1.0,,196.4682132331303,114.65883169919077,1.71350266108212,-2.416169946441425,31.60896131237713,-3.474791921041921,35.32375323341905,4,4,0,0.0,0.0,,-94.58364301434442,26.01418829784162,-3.6358483275141036,-49.1259698374443,-11.822440446447189,-15.009399342070711,3.4269588956235233
xau,SHORT,2.0,28.6876791415293,0.0,2,0,2,1.0,,1.0,282.02394228116873,246.26104646368094,1.1452235192331248,-126.44149251227684,70.41791602147293,34.1799938949939,36.47792212647902,0,0,0,,,,0.0,0.0,,0.0,,,
xau,BOTH,2.0,28.6876791415293,0.5,5,3,2,1.0,1.0,1.0,480.20905126717645,270.79797268540636,1.7733111016493792,-126.44149251227684,47.30869863077467,11.787043040293042,35.761655590481624,4,4,0,0.0,0.0,,-96.23503508078234,25.972641015245078,-3.7052464177322424,-49.900843151971884,-11.987095727349889,-14.471132914352673,2.724037187002783
xau,LONG,2.0,28.6876791415293,0.5,3,3,0,1.0,1.0,,198.18486308436823,114.60497909220369,1.7292866737048276,-2.416169946441425,31.908233524224254,-2.788734737484738,34.93696826170899,4,4,0,0.0,0.0,,-96.23503508078234,25.972641015245078,-3.7052464177322424,-49.900843151971884,-11.987095727349889,-14.471132914352673,2.724037187002783
xau,SHORT,2.0,28.6876791415293,0.5,2,0,2,1.0,,1.0,282.02394228116873,246.26104646368094,1.1452235192331248,-126.44149251227684,70.41791602147293,34.1799938949939,36.47792212647902,0,0,0,,,,0.0,0.0,,0.0,,,
xau,BOTH,2.0,28.6876791415293,1.0,5,3,2,1.0,1.0,1.0,480.20905126717645,270.79797268540636,1.7733111016493792,-126.44149251227684,47.30869863077467,11.787043040293042,35.761655590481624,6,6,0,0.16666666666666666,0.16666666666666666,,-87.2576308264062,25.223048251874662,-3.459440348171277,-45.54151336518315,-6.929968995770789,-9.447455719285692,2.757486723514903
xau,LONG,2.0,28.6876791415293,1.0,3,3,0,1.0,1.0,,198.18486308436823,114.60497909220369,1.7292866737048276,-2.416169946441425,31.908233524224254,-2.788734737484738,34.93696826170899,6,6,0,0.16666666666666666,0.16666666666666666,,-87.2576308264062,25.223048251874662,-3.459440348171277,-45.54151336518315,-6.929968995770789,-9.447455719285692,2.757486723514903
xau,SHORT,2.0,28.6876791415293,1.0,2,0,2,1.0,,1.0,282.02394228116873,246.26104646368094,1.1452235192331248,-126.44149251227684,70.41791602147293,34.1799938949939,36.47792212647902,0,0,0,,,,0.0,0.0,,0.0,,,
xau,BOTH,4.0,28.6876791415293,0.0,3,1,2,1.0,1.0,1.0,309.7453474910243,246.5877855861198,1.2561260759724329,-126.44149251227684,51.3485438314545,21.379051689051693,30.20949214240281,3,3,0,0.3333333333333333,0.3333333333333333,,-44.281671976345336,19.552651155236827,-2.264740040865777,-23.447868821238018,-7.010851976570005,-12.01079846477696,5.239946488206955
