date,gc_comex_carry_2m,gc_comex_carry_4m,si_comex_carry_2m,gc_cal_curvature,gc_si_cal_ratio,gc_comex_lbma_basis,si_comex_lbma_basis,gc_si_comex_basis_spread,gc_comex_curve_slope,comex_lbma_slope_basis
2018-01-01,,,,,,,,,,
2018-01-02,2.2253731170292115,2.1524100640118093,2.6067917596416224,-0.07296305301740214,0.8536827342645706,0.4153731170292114,0.7067917596416224,-0.291418642612411,-0.03648152650870107,-0.07473152650870118
2018-01-03,2.2675999305837173,2.17087226542831,2.6317613338055654,-0.0967276651554072,0.8616282568848045,0.4575999305837173,0.6817613338055655,-0.2241614032218482,-0.0483638325777036,-0.10326383257770377
2018-01-04,2.2161119546929067,2.121124915651173,2.6314565377740866,-0.09498703904173356,0.8421617164794543,0.46611195469290667,0.7314565377740867,-0.26534458308118003,-0.04749351952086678,-0.1401435195208669
2018-01-05,2.214938787961889,2.1423178440943373,2.731450087017493,-0.0726209438675518,0.8109021645643214,0.5149387879618892,0.831450087017493,-0.3165112990556038,-0.0363104719337759,-0.09996047193377611
2018-01-06,2.214938787961889,2.1423178440943373,2.731450087017493,-0.0726209438675518,0.8109021645643214,0.5149387879618892,0.831450087017493,-0.3165112990556038,-0.0363104719337759,-0.09996047193377611
2018-01-07,2.214938787961889,2.1423178440943373,2.731450087017493,-0.0726209438675518,0.8109021645643214,0.5149387879618892,0.831450087017493,-0.3165112990556038,-0.0363104719337759,-0.09996047193377611
2018-01-08,2.2181259916101226,2.167748471650378,2.753914766338046,-0.05037751995974471,0.8054446777812314,0.5181259916101226,0.9039147663380458,-0.38578877472792317,-0.025188759979872355,-0.08703875997987254
2018-01-09,2.2294386536667474,2.178804203370044,2.775609332986323,-0.05063445029670355,0.80322494494139,0.49943865366674745,0.9256093329863231,-0.42617067931957564,-0.025317225148351774,-0.03331722514835178
2018-01-10,2.2199754106890066,2.1919224427260757,2.8061801402127564,-0.028052967962930886,0.791102245674326,0.4699754106890066,0.9561801402127563,-0.4862047295237497,-0.014026483981465443,-0.020826483981465582
2018-01-11,2.2146038255742955,2.1866187362484015,2.8175927554240423,-0.02798508932589394,0.7859914536304242,0.44460382557429545,0.9675927554240422,-0.5229889298497468,-0.01399254466294697,-0.05239254466294696
2018-01-12,2.2397411854629503,2.2326225701194335,2.857686631898851,-0.007118615343516765,0.7837602487487252,0.4697411854629503,1.007686631898851,-0.5379454464359008,-0.0035593076717583827,-0.03380930767175849
2018-01-13,2.2397411854629503,2.2326225701194335,2.857686631898851,-0.007118615343516765,0.7837602487487252,0.4697411854629503,1.007686631898851,-0.5379454464359008,-0.0035593076717583827,-0.03380930767175849
2018-01-14,2.2397411854629503,2.2326225701194335,2.857686631898851,-0.007118615343516765,0.7837602487487252,0.4697411854629503,1.007686631898851,-0.5379454464359008,-0.0035593076717583827,-0.03380930767175849
2018-01-15,2.2397411854629503,2.2326225701194335,2.857686631898851,-0.007118615343516765,0.7837602487487252,0.4697411854629503,1.007686631898851,-0.5379454464359008,-0.0035593076717583827,-0.022959307671758467
2018-01-16,2.2360560230907427,2.2289491203743172,2.9183742175943927,-0.007106902716425445,0.7661992110572842,0.4660560230907427,1.0183742175943928,-0.5523181945036502,-0.0035534513582127225,-0.019303451358212875
2018-01-17,2.1869874248222865,2.181385510311974,2.922284424224048,-0.0056019145103123336,0.748382808563542,0.41698742482228646,0.9222844242240482,-0.5052969994017618,-0.0028009572551561668,-0.05730095725515638
2018-01-18,2.206761271339667,2.178875285328896,2.9588259069381864,-0.027885986010770747,0.745823289624782,0.4267612713396669,0.9588259069381864,-0.5320646355985195,-0.013942993005385373,-0.04284299300538552
