date,z_gc_comex_carry_2m,z_gc_comex_carry_4m,z_si_comex_carry_2m,z_gc_cal_curvature,z_gc_si_cal_ratio,z_gc_comex_lbma_basis,z_si_comex_lbma_basis,z_gc_si_comex_basis_spread,z_gc_comex_curve_slope,z_comex_lbma_slope_basis,rate_regime
2018-05-18,,,,,,-0.46312415603323015,0.008111381021051177,-0.20334040826989594,,,mid
2018-05-19,,,,,,-0.4610945947571286,0.008082151892502849,-0.20257715685371905,,,mid
2018-05-20,,,,,,-0.45909152041922746,0.008053236460482319,-0.2018224387709096,,,mid
2018-05-21,,,,,,-0.49517246718207186,0.04062702391749029,-0.24417094931530453,,,mid
2018-05-22,,,,,,-0.7850592666999692,-0.3872884220135447,-0.0150980135986232,,,mid
2018-05-23,,,,,,-1.308348057223025,-0.04033718381743759,-0.5274698886718162,,,mid
2018-05-24,,,,,,-1.379506907774902,-0.23017265434109818,-0.40520895973626364,,,mid
2018-05-25,,,,,,-1.6278321898824923,-0.2119780315512389,-0.5333737603343138,,,mid
2018-05-26,,,,,,-1.6075245457680114,-0.21121794814296074,-0.5310198654836679,,,mid
2018-05-27,,,,,,-1.5879597766503883,-0.21046598538260317,-0.5286969107707701,,,mid
2018-05-28,,,,,,-1.5690936572372356,-0.20972199964827534,-0.5264042235103694,,,mid
2018-05-29,,,,,,-2.2462492856315586,0.03559952363123196,-1.043277055239554,,,mid
2018-05-30,,,,,,-2.7439585246563247,-0.15954168192981083,-1.136248641671179,,,mid
2018-05-31,,,,,,-3.597898652388149,-0.31607195842101327,-1.4695843876237655,,,mid
2018-06-01,,,,,,0.18157378088047685,-0.2547125907599717,0.2931446140049848,,,mid
2018-06-02,,,,,,0.18095972682691985,-0.2538243796087974,0.29210202949463265,,,mid
2018-06-03,,,,,,0.1803518621871612,-0.25294540018767736,0.291070497029594,,,mid
2018-06-04,,,,,,-0.012046135003308901,-0.5519011128475771,0.44087419685017465,,,mid
