label,n_days,total_pnl,ann_return,ann_vol,sharpe,max_dd,n_trades,hit_rate,avg_win,avg_loss,win_loss_ratio,avg_hold_days,max_win_streak,max_loss_streak,lookback,entry_z,exit_z,max_hold,spread,spread_label
gs_ratio_fut_lb60_ez2.0_xz0.0_mh20,2129,-0.67,-0.08,15.088,-0.005,-46.1,42,0.619,3.411,-3.687,0.93,23.8,6,4,60,2.0,0.0,20,gs_ratio_fut,GS raw ratio
gs_log_ratio_lb120_ez1.0_xz0.0_mh40,2129,-0.25,-0.03,0.229,-0.128,-0.79,37,0.541,0.044,-0.066,0.66,33.4,5,3,120,1.0,0.0,40,gs_log_ratio,GS log ratio (preferred)
