,Date,Open,High,Low,Close,Volume,Ticker
22/03/1900,29/11/2024,2825.1,2825.1,2825.1,2819.3,1,GCA Comdty
23/03/1900,30/11/2024,2825.1,2825.1,2825.1,2819.3,1,GCA Comdty
24/03/1900,01/12/2024,2825.1,2825.1,2825.1,2819.3,1,GCA Comdty
25/03/1900,02/12/2024,2825.1,2825.1,2825.1,2797.2,1,GCA Comdty
26/03/1900,03/12/2024,2825.1,2825.1,2825.1,2805.7,1,GCA Comdty
27/03/1900,04/12/2024,2825.1,2825.1,2825.1,2812.8,1,GCA Comdty
28/03/1900,05/12/2024,2825.1,2825.1,2825.1,2783.9,1,GCA Comdty
29/03/1900,06/12/2024,2825.1,2825.1,2825.1,2794.9,1,GCA Comdty
30/03/1900,07/12/2024,2825.1,2825.1,2825.1,2794.9,1,GCA Comdty
31/03/1900,08/12/2024,2825.1,2825.1,2825.1,2794.9,1,GCA Comdty
01/04/1900,09/12/2024,2825.1,2825.1,2825.1,2825.5,1,GCA Comdty
02/04/1900,10/12/2024,2825.1,2825.1,2825.1,2858,1,GCA Comdty
03/04/1900,11/12/2024,2825.1,2825.1,2825.1,2893.6,2,GCA Comdty
04/04/1900,12/12/2024,2825.1,2825.1,2825.1,2850.2,2,GCA Comdty
05/04/1900,13/12/2024,2825.1,2825.1,2825.1,2817.7,2,GCA Comdty
06/04/1900,14/12/2024,2825.1,2825.1,2825.1,2817.7,2,GCA Comdty
07/04/1900,15/12/2024,2825.1,2825.1,2825.1,2817.7,2,GCA Comdty
08/04/1900,16/12/2024,2825.1,2825.1,2825.1,2812.3,2,GCA Comdty
09/04/1900,17/12/2024,2825.1,2825.1,2825.1,2805.3,2,GCA Comdty
10/04/1900,18/12/2024,2805,2805,2805,2799.3,1,GCA Comdty
11/04/1900,19/12/2024,2805,2805,2805,2757.6,1,GCA Comdty
12/04/1900,20/12/2024,2805,2805,2805,2793.6,1,GCA Comdty
13/04/1900,21/12/2024,2805,2805,2805,2793.6,1,GCA Comdty
14/04/1900,22/12/2024,2805,2805,2805,2793.6,1,GCA Comdty
15/04/1900,23/12/2024,2805,2805,2805,2778.2,1,GCA Comdty
16/04/1900,24/12/2024,2805,2805,2805,2788.1,1,GCA Comdty
17/04/1900,25/12/2024,2805,2805,2805,2788.1,1,GCA Comdty
18/04/1900,26/12/2024,2805,2805,2805,2809.1,1,GCA Comdty
19/04/1900,27/12/2024,2805,2805,2805,2789.6,1,GCA Comdty
20/04/1900,28/12/2024,2805,2805,2805,2789.6,1,GCA Comdty
21/04/1900,29/12/2024,2805,2805,2805,2789.6,1,GCA Comdty
22/04/1900,30/12/2024,2805,2805,2805,2780.4,1,GCA Comdty
23/04/1900,31/12/2024,2805,2805,2805,2809.7,1,GCA Comdty
24/04/1900,01/01/2025,2805,2805,2805,2809.7,1,GCA Comdty
25/04/1900,02/01/2025,2824.3,2824.3,2824.3,2832.5,5,GCA Comdty
26/04/1900,03/01/2025,2835.1,2835.1,2835.1,2813.6,3,GCA Comdty
27/04/1900,04/01/2025,2835.1,2835.1,2835.1,2813.6,3,GCA Comdty
28/04/1900,05/01/2025,2835.1,2835.1,2835.1,2813.6,3,GCA Comdty
29/04/1900,06/01/2025,2795,2795,2795,2804.9,1,GCA Comdty
30/04/1900,07/01/2025,2795,2795,2795,2824.1,1,GCA Comdty
01/05/1900,08/01/2025,2795,2795,2795,2833.3,1,GCA Comdty
02/05/1900,09/01/2025,2840.1,2840.1,2840.1,2851.7,1,GCA Comdty
03/05/1900,10/01/2025,2840.1,2840.1,2840.1,2876.7,1,GCA Comdty
04/05/1900,11/01/2025,2840.1,2840.1,2840.1,2876.7,1,GCA Comdty
05/05/1900,12/01/2025,2840.1,2840.1,2840.1,2876.7,1,GCA Comdty
06/05/1900,13/01/2025,2840.1,2840.1,2840.1,2837.1,2,GCA Comdty
07/05/1900,14/01/2025,2840.1,2840.1,2840.1,2843.8,2,GCA Comdty
08/05/1900,15/01/2025,2840.1,2840.1,2840.1,2879.6,1,GCA Comdty
09/05/1900,16/01/2025,2840.1,2840.1,2840.1,2914.8,5,GCA Comdty
10/05/1900,17/01/2025,2840.1,2840.1,2840.1,2913.2,9,GCA Comdty
11/05/1900,18/01/2025,2840.1,2840.1,2840.1,2913.2,9,GCA Comdty
12/05/1900,19/01/2025,2840.1,2840.1,2840.1,2913.2,9,GCA Comdty
13/05/1900,20/01/2025,2840.1,2840.1,2840.1,2913.2,9,GCA Comdty
14/05/1900,21/01/2025,2840.1,2840.1,2840.1,2925.2,4,GCA Comdty
15/05/1900,22/01/2025,2840.1,2840.1,2840.1,2937.7,3,GCA Comdty
16/05/1900,23/01/2025,2840.1,2840.1,2840.1,2932.2,6,GCA Comdty
17/05/1900,24/01/2025,2840.1,2840.1,2840.1,2948,6,GCA Comdty
18/05/1900,25/01/2025,2840.1,2840.1,2840.1,2948,6,GCA Comdty
19/05/1900,26/01/2025,2840.1,2840.1,2840.1,2948,6,GCA Comdty
20/05/1900,27/01/2025,2840.1,2840.1,2840.1,2908.5,7,GCA Comdty
21/05/1900,28/01/2025,2840.1,2840.1,2840.1,2942.4,7,GCA Comdty
22/05/1900,29/01/2025,2840.1,2840.1,2840.1,2936.1,4,GCA Comdty
23/05/1900,30/01/2025,2840.1,2840.1,2840.1,2987.5,1,GCA Comdty
24/05/1900,31/01/2025,2991,2996,2991,2975.6,7,GCA Comdty
25/05/1900,01/02/2025,2991,2996,2991,2975.6,7,GCA Comdty
26/05/1900,02/02/2025,2991,2996,2991,2975.6,7,GCA Comdty
27/05/1900,03/02/2025,2961,2974.9,2958.9,2995,9,GCA Comdty
28/05/1900,04/02/2025,2961,2974.9,2958.9,3015.7,9,GCA Comdty
29/05/1900,05/02/2025,2961,2974.9,2958.9,3034.1,9,GCA Comdty
30/05/1900,06/02/2025,3024,3024,3000,3021.4,3,GCA Comdty
31/05/1900,07/02/2025,3029.8,3045.1,3026.7,3036.9,28,GCA Comdty
01/06/1900,08/02/2025,3029.8,3045.1,3026.7,3036.9,28,GCA Comdty
02/06/1900,09/02/2025,3029.8,3045.1,3026.7,3036.9,28,GCA Comdty
03/06/1900,10/02/2025,3029.8,3045.1,3026.7,3086.3,7,GCA Comdty
04/06/1900,11/02/2025,3082.4,3082.4,3082.4,3087.9,6,GCA Comdty
05/06/1900,12/02/2025,3082.4,3082.4,3082.4,3084.5,7,GCA Comdty
06/06/1900,13/02/2025,3082.4,3082.4,3082.4,3099.2,4,GCA Comdty
07/06/1900,14/02/2025,3082.4,3082.4,3082.4,3051.4,10,GCA Comdty
08/06/1900,15/02/2025,3082.4,3082.4,3082.4,3051.4,10,GCA Comdty
09/06/1900,16/02/2025,3082.4,3082.4,3082.4,3051.4,10,GCA Comdty
10/06/1900,17/02/2025,3082.4,3082.4,3082.4,3051.4,10,GCA Comdty
11/06/1900,18/02/2025,3045.3,3094.2,3045.3,3099.8,7,GCA Comdty
12/06/1900,19/02/2025,3045.3,3094.2,3045.3,3082.8,5,GCA Comdty
13/06/1900,20/02/2025,3118.1,3118.1,3118.1,3103.3,2,GCA Comdty
14/06/1900,21/02/2025,3118.1,3118.1,3118.1,3099.6,2,GCA Comdty
15/06/1900,22/02/2025,3118.1,3118.1,3118.1,3099.6,2,GCA Comdty
16/06/1900,23/02/2025,3118.1,3118.1,3118.1,3099.6,2,GCA Comdty
17/06/1900,24/02/2025,3118.1,3118.1,3118.1,3111.5,2,GCA Comdty
18/06/1900,25/02/2025,3068,3068,3068,3066.5,2,GCA Comdty
19/06/1900,26/02/2025,3077.4,3077.4,3077.4,3078.9,12,GCA Comdty
20/06/1900,27/02/2025,3077.4,3077.4,3077.4,3043.9,1,GCA Comdty
21/06/1900,28/02/2025,3013.4,3013.4,3008.6,2995,9,GCA Comdty
22/06/1900,01/03/2025,3013.4,3013.4,3008.6,2995,9,GCA Comdty
23/06/1900,02/03/2025,3013.4,3013.4,3008.6,2995,9,GCA Comdty
24/06/1900,03/03/2025,3030,3048.6,3030,3049.2,21,GCA Comdty
25/06/1900,04/03/2025,3085.4,3085.4,3085.4,3068.3,7,GCA Comdty
26/06/1900,05/03/2025,3072.9,3074.7,3072.2,3073.2,39,GCA Comdty
27/06/1900,06/03/2025,3072.9,3074.7,3072.2,3074,39,GCA Comdty
28/06/1900,07/03/2025,3072.9,3074.7,3072.2,3060.2,5,GCA Comdty
29/06/1900,08/03/2025,3072.9,3074.7,3072.2,3060.2,5,GCA Comdty
30/06/1900,09/03/2025,3072.9,3074.7,3072.2,3060.2,5,GCA Comdty
01/07/1900,10/03/2025,3072.9,3074.7,3072.2,3043.5,9,GCA Comdty
02/07/1900,11/03/2025,3072.9,3074.7,3072.2,3066,7,GCA Comdty
03/07/1900,12/03/2025,3072.9,3074.7,3072.2,3090.9,7,GCA Comdty
04/07/1900,13/03/2025,3103.5,3103.5,3103.5,3136.4,7,GCA Comdty
05/07/1900,14/03/2025,3140.9,3141,3140.9,3145.6,7,GCA Comdty
06/07/1900,15/03/2025,3140.9,3141,3140.9,3145.6,7,GCA Comdty
07/07/1900,16/03/2025,3140.9,3141,3140.9,3145.6,7,GCA Comdty
08/07/1900,17/03/2025,3141,3152.1,3141,3150.7,22,GCA Comdty
09/07/1900,18/03/2025,3187.4,3187.9,3178.2,3188.7,191,GCA Comdty
10/07/1900,19/03/2025,3187.4,3187.9,3178.2,3189.6,12,GCA Comdty
11/07/1900,20/03/2025,3187.4,3187.9,3178.2,3191,3,GCA Comdty
12/07/1900,21/03/2025,3150,3164.5,3150,3164.3,18,GCA Comdty
13/07/1900,22/03/2025,3150,3164.5,3150,3164.3,18,GCA Comdty
14/07/1900,23/03/2025,3150,3164.5,3150,3164.3,18,GCA Comdty
15/07/1900,24/03/2025,3150,3164.5,3150,3159,32,GCA Comdty
16/07/1900,25/03/2025,3166.5,3168.9,3166.5,3170.4,30,GCA Comdty
17/07/1900,26/03/2025,3166.5,3168.9,3166.5,3167,28,GCA Comdty
18/07/1900,27/03/2025,3204.6,3204.6,3204.6,3206.2,20,GCA Comdty
19/07/1900,28/03/2025,3229,3229,3229,3230.4,70,GCA Comdty
20/07/1900,29/03/2025,3229,3229,3229,3230.4,70,GCA Comdty
21/07/1900,30/03/2025,3229,3229,3229,3230.4,70,GCA Comdty
22/07/1900,31/03/2025,3238.8,3256.3,3238.8,3267.5,213,GCA Comdty
23/07/1900,01/04/2025,3262.7,3262.7,3262.2,3263,37,GCA Comdty
24/07/1900,02/04/2025,3300.3,3300.3,3300.3,3285,63,GCA Comdty
25/07/1900,03/04/2025,3304.1,3304.1,3231.7,3239,121,GCA Comdty
26/07/1900,04/04/2025,3174.7,3174.7,3150,3148,113,GCA Comdty
27/07/1900,05/04/2025,3174.7,3174.7,3150,3148,113,GCA Comdty
28/07/1900,06/04/2025,3174.7,3174.7,3150,3148,113,GCA Comdty
29/07/1900,07/04/2025,3150.6,3156.8,3133.4,3085.9,51,GCA Comdty
30/07/1900,08/04/2025,3144.2,3144.6,3106.7,3105.2,41,GCA Comdty
31/07/1900,09/04/2025,3194.2,3207.9,3194.2,3200.4,144,GCA Comdty
01/08/1900,10/04/2025,3194.2,3207.9,3194.2,3300.9,211,GCA Comdty
02/08/1900,11/04/2025,3356,3362.7,3339.7,3373.9,119,GCA Comdty
03/08/1900,12/04/2025,3356,3362.7,3339.7,3373.9,119,GCA Comdty
04/08/1900,13/04/2025,3356,3362.7,3339.7,3373.9,119,GCA Comdty
05/08/1900,14/04/2025,3364.4,3364.4,3340,3352.8,39,GCA Comdty
06/08/1900,15/04/2025,3364.4,3364.4,3340,3367.6,11,GCA Comdty
07/08/1900,16/04/2025,3416.2,3441.4,3416.2,3478,39,GCA Comdty
08/08/1900,17/04/2025,3468,3470.1,3436.5,3459.4,70,GCA Comdty
09/08/1900,18/04/2025,3468,3470.1,3436.5,3459.4,70,GCA Comdty
10/08/1900,19/04/2025,3468,3470.1,3436.5,3459.4,70,GCA Comdty
11/08/1900,20/04/2025,3468,3470.1,3436.5,3459.4,70,GCA Comdty
12/08/1900,21/04/2025,3518.8,3567.3,3518.7,3558.2,149,GCA Comdty
13/08/1900,22/04/2025,3575.3,3626.9,3519.2,3553.3,384,GCA Comdty
14/08/1900,23/04/2025,3485.3,3485.3,3405,3425.9,80,GCA Comdty
15/08/1900,24/04/2025,3495.1,3495.8,3471.5,3482.5,71,GCA Comdty
16/08/1900,25/04/2025,3435.6,3435.6,3417.7,3430.6,92,GCA Comdty
17/08/1900,26/04/2025,3435.6,3435.6,3417.7,3430.6,92,GCA Comdty
18/08/1900,27/04/2025,3435.6,3435.6,3417.7,3430.6,92,GCA Comdty
19/08/1900,28/04/2025,3424.2,3485.8,3424.2,3480.7,55,GCA Comdty
20/08/1900,29/04/2025,3424.2,3485.8,3424.2,3466,29,GCA Comdty
21/08/1900,30/04/2025,3449.3,3449.3,3449.2,3449.2,156,GCA Comdty
22/08/1900,01/05/2025,3376.3,3378.1,3347,3350.4,280,GCA Comdty
23/08/1900,02/05/2025,3367.5,3398,3367.4,3372.5,102,GCA Comdty
24/08/1900,03/05/2025,3367.5,3398,3367.4,3372.5,102,GCA Comdty
25/08/1900,04/05/2025,3367.5,3398,3367.4,3372.5,102,GCA Comdty
26/08/1900,05/05/2025,3408.3,3458.8,3392.4,3454.6,152,GCA Comdty
27/08/1900,06/05/2025,3464.4,3531.5,3464.4,3557.6,165,GCA Comdty
28/08/1900,07/05/2025,3525.2,3534.4,3501.1,3527.6,385,GCA Comdty
29/08/1900,08/05/2025,3545.1,3551.7,3446.4,3439.6,238,GCA Comdty
30/08/1900,09/05/2025,3447.4,3481.3,3447.4,3477.8,263,GCA Comdty
31/08/1900,10/05/2025,3447.4,3481.3,3447.4,3477.8,263,GCA Comdty
01/09/1900,11/05/2025,3447.4,3481.3,3447.4,3477.8,263,GCA Comdty
02/09/1900,12/05/2025,3372,3375.9,3345,3360.6,142,GCA Comdty
03/09/1900,13/05/2025,3388.8,3394.1,3382.2,3382,203,GCA Comdty
04/09/1900,14/05/2025,3321.2,3321.8,3310,3320.2,335,GCA Comdty
05/09/1900,15/05/2025,3300,3373.3,3300,3357.3,250,GCA Comdty
06/09/1900,16/05/2025,3343.9,3343.9,3300,3316.8,170,GCA Comdty
07/09/1900,17/05/2025,3343.9,3343.9,3300,3316.8,170,GCA Comdty
08/09/1900,18/05/2025,3343.9,3343.9,3300,3316.8,170,GCA Comdty
09/09/1900,19/05/2025,3343,3381,3343,3365.6,194,GCA Comdty
10/09/1900,20/05/2025,3355,3418.7,3348,3415.7,149,GCA Comdty
11/09/1900,21/05/2025,3449,3453.5,3445.7,3447.4,188,GCA Comdty
12/09/1900,22/05/2025,3454.9,3475.7,3425,3428.9,131,GCA Comdty
13/09/1900,23/05/2025,3429.1,3502.2,3429.1,3501.5,116,GCA Comdty
14/09/1900,24/05/2025,3429.1,3502.2,3429.1,3501.5,116,GCA Comdty
15/09/1900,25/05/2025,3429.1,3502.2,3429.1,3501.5,116,GCA Comdty
16/09/1900,26/05/2025,3429.1,3502.2,3429.1,3501.5,116,GCA Comdty
17/09/1900,27/05/2025,3471,3484.9,3427.5,3436.8,240,GCA Comdty
18/09/1900,28/05/2025,3439,3452.6,3428.6,3429.4,75,GCA Comdty
19/09/1900,29/05/2025,3448,3448.1,3448,3448.3,452,GCA Comdty
20/09/1900,30/05/2025,3440.2,3441.8,3419.8,3419.6,104,GCA Comdty
21/09/1900,31/05/2025,3440.2,3441.8,3419.8,3419.6,104,GCA Comdty
22/09/1900,01/06/2025,3440.2,3441.8,3419.8,3419.6,104,GCA Comdty
23/09/1900,02/06/2025,3484,3507,3482.8,3503.5,116,GCA Comdty
24/09/1900,03/06/2025,3492,3492,3478.1,3485.2,106,GCA Comdty
25/09/1900,04/06/2025,3485.1,3495.2,3477.5,3506.7,128,GCA Comdty
26/09/1900,05/06/2025,3510.5,3510.5,3470,3482,267,GCA Comdty
27/09/1900,06/06/2025,3485.4,3498,3453.8,3453.6,210,GCA Comdty
28/09/1900,07/06/2025,3485.4,3498,3453.8,3453.6,210,GCA Comdty
29/09/1900,08/06/2025,3485.4,3498,3453.8,3453.6,210,GCA Comdty
30/09/1900,09/06/2025,3461.9,3461.9,3461.6,3461.5,345,GCA Comdty
01/10/1900,10/06/2025,3473.9,3473.9,3450,3450.3,219,GCA Comdty
02/10/1900,11/06/2025,3457,3457,3450,3450,236,GCA Comdty
03/10/1900,12/06/2025,3491,3522,3466.4,3507.9,128,GCA Comdty
04/10/1900,13/06/2025,3559.3,3560.2,3559.3,3559.6,232,GCA Comdty
05/10/1900,14/06/2025,3559.3,3560.2,3559.3,3559.6,232,GCA Comdty
06/10/1900,15/06/2025,3559.3,3560.2,3559.3,3559.6,232,GCA Comdty
07/10/1900,16/06/2025,3575.8,3575.8,3524.5,3523.8,112,GCA Comdty
08/10/1900,17/06/2025,3508.5,3508.5,3505.5,3515.1,277,GCA Comdty
09/10/1900,18/06/2025,3499,3520.8,3491.7,3515.1,391,GCA Comdty
10/10/1900,19/06/2025,3499,3520.8,3491.7,3515.1,391,GCA Comdty
11/10/1900,20/06/2025,3499.5,3500.7,3473.6,3492.6,539,GCA Comdty
12/10/1900,21/06/2025,3499.5,3500.7,3473.6,3492.6,539,GCA Comdty
13/10/1900,22/06/2025,3499.5,3500.7,3473.6,3492.6,539,GCA Comdty
14/10/1900,23/06/2025,3490.4,3490.4,3490.4,3501.2,152,GCA Comdty
15/10/1900,24/06/2025,3467.4,3470.7,3442,3440.2,255,GCA Comdty
16/10/1900,25/06/2025,3451.2,3456,3449,3449.7,179,GCA Comdty
17/10/1900,26/06/2025,3454,3455.3,3452.6,3454.3,117,GCA Comdty
18/10/1900,27/06/2025,3396.1,3400,3385,3392.7,578,GCA Comdty
19/10/1900,28/06/2025,3396.1,3400,3385,3392.7,578,GCA Comdty
20/10/1900,29/06/2025,3396.1,3400,3385,3392.7,578,GCA Comdty
21/10/1900,30/06/2025,3377.1,3415,3377,3412.9,139,GCA Comdty
22/10/1900,01/07/2025,3448,3465.9,3445,3455.5,383,GCA Comdty
23/10/1900,02/07/2025,3461,3468.9,3454.3,3466,415,GCA Comdty
24/10/1900,03/07/2025,3478,3478,3441.4,3450.3,511,GCA Comdty
25/10/1900,04/07/2025,3478,3478,3441.4,3450.3,511,GCA Comdty
26/10/1900,05/07/2025,3478,3478,3441.4,3450.3,511,GCA Comdty
27/10/1900,06/07/2025,3478,3478,3441.4,3450.3,511,GCA Comdty
28/10/1900,07/07/2025,3447.2,3455,3425.3,3450.3,407,GCA Comdty
29/10/1900,08/07/2025,3456,3456,3423.9,3424.5,934,GCA Comdty
30/10/1900,09/07/2025,3419.2,3427.8,3399,3427.5,1316,GCA Comdty
31/10/1900,10/07/2025,3438.7,3438.7,3428.3,3432.1,1479,GCA Comdty
01/11/1900,11/07/2025,3440,3487.4,3440,3470.3,2259,GCA Comdty
02/11/1900,12/07/2025,3440,3487.4,3440,3470.3,2259,GCA Comdty
03/11/1900,13/07/2025,3440,3487.4,3440,3470.3,2259,GCA Comdty
04/11/1900,14/07/2025,3487,3494,3457.8,3466.8,646,GCA Comdty
05/11/1900,15/07/2025,3477.6,3477.6,3437.3,3444.4,658,GCA Comdty
06/11/1900,16/07/2025,3452.1,3489.5,3433.7,3466.1,375,GCA Comdty
07/11/1900,17/07/2025,3427.2,3452.9,3422.8,3452.6,127,GCA Comdty
08/11/1900,18/07/2025,3452,3471.5,3452,3465.5,185,GCA Comdty
09/11/1900,19/07/2025,3452,3471.5,3452,3465.5,185,GCA Comdty
10/11/1900,20/07/2025,3452,3471.5,3452,3465.5,185,GCA Comdty
11/11/1900,21/07/2025,3465.5,3523.5,3465.5,3515.4,661,GCA Comdty
12/11/1900,22/07/2025,3524,3558,3506.9,3555.2,1372,GCA Comdty
13/11/1900,23/07/2025,3554,3554.1,3504.1,3507.3,1467,GCA Comdty
14/11/1900,24/07/2025,3506,3506,3464.6,3483.9,1666,GCA Comdty
15/11/1900,25/07/2025,3459.7,3460.8,3434.3,3443.8,1660,GCA Comdty
16/11/1900,26/07/2025,3459.7,3460.8,3434.3,3443.8,1660,GCA Comdty
17/11/1900,27/07/2025,3459.7,3460.8,3434.3,3443.8,1660,GCA Comdty
18/11/1900,28/07/2025,3445.8,3449.8,3410.4,3418,810,GCA Comdty
19/11/1900,29/07/2025,3415.6,3437.3,3415.6,3432.4,640,GCA Comdty
20/11/1900,30/07/2025,3434.6,3438.6,3372.4,3403.7,891,GCA Comdty
21/11/1900,31/07/2025,3389.7,3413.4,3387.1,3400,1084,GCA Comdty
22/11/1900,01/08/2025,3397.8,3458.5,3388.3,3449.9,2028,GCA Comdty
23/11/1900,02/08/2025,3397.8,3458.5,3388.3,3449.9,2028,GCA Comdty
24/11/1900,03/08/2025,3397.8,3458.5,3388.3,3449.9,2028,GCA Comdty
25/11/1900,04/08/2025,3457.7,3482.8,3456.9,3476.9,1120,GCA Comdty
