ticker,display_name,final_score,date,close_price,roc_component,ma_component,rsi_component,price_ma_component,roc_1d,roc_5d,roc_20d,rsi,ma5_slope,ma20_slope,price_vs_ma20
ES=F,ES,0.7,2026-01-16,6976.75,0.14481169449818465,0.4607258280337925,-0.011261261261261311,0.003496129111272912,-0.07161528270132847,-0.403283369022127,3.7203597710547833,49.62462462462462,-0.08078064124101421,0.180458503723542,0.43923763409390276
NQ=F,NQ,0.4,2026-01-16,25689.0,0.12636992858376647,0.45291234722508694,-0.14773208986858846,-0.03557542949237459,-0.06516051856102234,-0.9609360693184776,4.135799341271852,45.075597004380384,-0.19301095148397174,0.19911249241371046,0.07030532762460423
RTY=F,RTY,2.4,2026-01-16,2691.199951171875,0.8341180493555442,0.5516442860006919,0.7955242404175217,0.3135333152816823,0.10415298801654896,2.059238152341756,7.876698755202803,76.51747468058406,0.40862436564041704,0.38158555562813307,4.1241053091084385
ZT=F,ZT (2y),-0.5,2026-01-16,104.12109375,-0.04977336794623461,-0.4540730136051607,-0.42567567567567577,-0.019865258216198996,-0.05999025158411758,-0.11242270938729623,-0.16106075361450298,35.81081081081081,-0.022484204846095618,-0.00805192178775679,-0.16685674477659465
ZF=F,ZF (5y),-1.0,2026-01-16,108.7265625,-0.14218146368385945,-0.4593241755977502,-0.5875576036866359,-0.0520579424239348,-0.25800903031606104,-0.29373835793093567,-0.5502358153494356,30.414746543778804,-0.058728317075621504,-0.027529791166872465,-0.4577641084328732
ZN=F,ZN (10y),-0.9,2026-01-16,111.75,-0.20119981457625388,-0.4621321734214666,-0.4595375722543355,-0.06810428919078466,-0.4177109440267335,-0.4177109440267335,-0.8181944251837471,34.682080924855484,-0.08350963144415989,-0.040991579356928654,-0.5789828529327898
ZB=F,ZB (30y),0.3,2026-01-16,115.4375,-0.19971192366434304,0.44648136098347796,-0.02830188679245289,-0.043430186803905924,-0.7522837184309511,-0.2968960863697706,-0.3506878877798759,49.056603773584904,-0.059283212072212835,-0.017558076715291488,-0.19857619517202937
DX-Y.NYB,DXY,1.5,2026-01-16,99.375,0.13146172908873358,0.4639313417163236,0.9259705321112396,0.06599604241798374,0.05537686804750105,0.2471529843339965,1.021650122351845,80.86568440370799,0.04943857588327696,0.05099852117180513,0.8041514103540391
USDJPY=X,USDJPY,1.1,2026-01-18,157.9320068359375,-0.020274970003519664,0.45617169079294556,0.3495980129420225,0.008392768291727028,-0.4186651839803297,-0.13720936358146443,1.5672605519639824,61.65326709806742,-0.02738760039054105,0.07761831557806065,0.5240053252442306
EURUSD=X,EURUSD,-1.6,2026-01-18,1.1583458185195923,-0.20532047393413785,-0.4670111030618649,-0.9141188120331919,-0.09211286053067211,-0.22008879951022461,-0.34634507542038095,-1.3529503073904154,19.529372932226934,-0.06918571703268372,-0.06783502177391171,-1.0123706458354818
